fullname,params_b,average,details_repo
bfuzzy1/acheron-c,0.514,4.2908204733904265,open-llm-leaderboard/bfuzzy1__acheron-c-details
bfuzzy1/acheron-d,0.514,4.988234616217907,open-llm-leaderboard/bfuzzy1__acheron-d-details
bfuzzy1/acheron-m,0.514,4.225197951458999,open-llm-leaderboard/bfuzzy1__acheron-m-details
bfuzzy1/acheron-m1a-llama,0.514,3.348613471275291,open-llm-leaderboard/bfuzzy1__acheron-m1a-llama-details
h2oai/h2o-danube3-500m-chat,0.514,5.204440277019856,open-llm-leaderboard/h2oai__h2o-danube3-500m-chat-details
bigscience/bloom-560m,0.559,3.50724359916236,open-llm-leaderboard/bigscience__bloom-560m-details
Sicarius-Prototyping/Micropenis_1B,0.618,10.141053791929549,open-llm-leaderboard/Sicarius-Prototyping__Micropenis_1B-details
Qwen/Qwen1.5-0.5B,0.62,5.3510150735736985,open-llm-leaderboard/Qwen__Qwen1.5-0.5B-details
Qwen/Qwen1.5-0.5B-Chat,0.62,5.67816209115329,open-llm-leaderboard/Qwen__Qwen1.5-0.5B-Chat-details
google/switch-base-8,0.62,3.2959502683966075,open-llm-leaderboard/google__switch-base-8-details
CoolSpring/Qwen2-0.5B-Abyme-merge2,0.63,6.320258162859158,open-llm-leaderboard/CoolSpring__Qwen2-0.5B-Abyme-merge2-details
CoolSpring/Qwen2-0.5B-Abyme-merge3,0.63,6.8201960830112,open-llm-leaderboard/CoolSpring__Qwen2-0.5B-Abyme-merge3-details
Goekdeniz-Guelmez/Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1,0.63,9.768236092545305,open-llm-leaderboard/Goekdeniz-Guelmez__Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1-details
JayHyeon/Qwen2.5-0.5B-Instruct-SFT,0.63,8.158039000338244,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-Instruct-SFT-details
JayHyeon/Qwen2.5-0.5B-SFT,0.63,6.6110587340398945,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-details
JayHyeon/Qwen2.5-0.5B-SFT-1e-4,0.63,5.941930910286053,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-1e-4-details
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-2ep,0.63,6.345325435592133,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-1e-4-2ep-details
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-3ep,0.63,6.469032763498576,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-1e-4-3ep-details
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-5ep,0.63,5.890344422168456,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-1e-4-5ep-details
JayHyeon/Qwen2.5-0.5B-SFT-1e-5,0.63,6.664256620538701,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-1e-5-details
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.63,7.003091729061743,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-1e-5-2ep-details
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-3ep,0.63,7.740340198303553,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-1e-5-3ep-details
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-5ep,0.63,7.8890047643086625,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-1e-5-5ep-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-4,0.63,5.555176381236881,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-4-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-2ep,0.63,5.5183018931282595,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-4-2ep-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-3ep,0.63,5.465283047679917,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-4-3ep-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-5ep,0.63,6.087118748270012,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-4-5ep-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5,0.63,6.9691100972452,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep,0.63,7.69236788584868,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_3e-7-3ep_0alp_5lam,0.63,7.460129211594215,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_3e-7-3ep_0alp_5lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,0.63,7.868642802061662,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.63,7.648469593189115,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,0.63,7.772250160016548,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-7-3ep_0alp_0lam,0.63,7.5699062251194,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-7-3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-3ep_0alp_0lam,0.63,7.696682188954132,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-3ep_0alp_0lam,0.63,7.645766396524414,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-7-3ep_0alp_0lam,0.63,7.580039598446345,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-7-3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-3ep_0alp_0lam,0.63,7.698046996488631,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-3ep_1alp_0lam,0.63,7.707475337922656,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-3ep_1alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_3e-7-3ep_1alp_0lam,0.63,7.811415481732978,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_3e-7-3ep_1alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-3ep_1alp_0lam,0.63,7.500614312695059,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-3ep_1alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-3ep_1alp_0lam,0.63,7.87411176143835,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-3ep_1alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-3ep_0alp_0lam,0.63,7.758022627216668,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6-3ep_0alp_0lam,0.63,7.538763276089521,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6-3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6-3ep_0alp_0lam,0.63,7.662137140256275,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6-3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,0.63,8.113734287630097,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-3ep_0alp_0lam,0.63,7.931808376696927,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7-3ep_0alp_0lam,0.63,7.664774636147854,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7-3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7-3ep_0alp_0lam,0.63,7.566871862822331,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7-3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-3ep,0.63,7.452521242968808,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-3ep-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep,0.63,7.715260794976504,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-5ep-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam,0.63,7.834821841142105,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam,0.63,7.453297176972131,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam-details
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,0.63,6.609556986596828,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-5e-5-details
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-2ep,0.63,6.850186995920002,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-5e-5-2ep-details
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,0.63,7.074425558693155,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-5e-5-3ep-details
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-5ep,0.63,7.440232615798167,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-5e-5-5ep-details
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,0.63,6.761335194180454,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-7e-5-details
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-2ep,0.63,6.502777310751012,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-7e-5-2ep-details
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-3ep,0.63,6.894032740125938,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-7e-5-3ep-details
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-5ep,0.63,6.575560410304202,open-llm-leaderboard/JayHyeon__Qwen2.5-0.5B-SFT-7e-5-5ep-details
JayHyeon/Qwen_0.5-DPOP_1e-6-3ep_0alp_5lam,0.63,7.889615512040611,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPOP_1e-6-3ep_0alp_5lam-details
JayHyeon/Qwen_0.5-DPOP_1e-7-3ep_0alp_5lam,0.63,7.889282686740077,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPOP_1e-7-3ep_0alp_5lam-details
JayHyeon/Qwen_0.5-DPOP_3e-6-3ep_0alp_5lam,0.63,7.64886621890572,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPOP_3e-6-3ep_0alp_5lam-details
JayHyeon/Qwen_0.5-DPOP_3e-7-3ep_0alp_5lam,0.63,7.691670985905742,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPOP_3e-7-3ep_0alp_5lam-details
JayHyeon/Qwen_0.5-DPOP_5e-7-3ep_0alp_5lam,0.63,7.865443795694458,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPOP_5e-7-3ep_0alp_5lam-details
JayHyeon/Qwen_0.5-DPO_1e-6-3ep_0alp_0lam,0.63,7.62746022008641,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPO_1e-6-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-DPO_1e-7-3ep_0alp_0lam,0.63,7.573179197494986,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPO_1e-7-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-DPO_3e-6-3ep_0alp_0lam,0.63,7.64297366620885,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPO_3e-6-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-DPO_3e-7-3ep_0alp_0lam,0.63,7.740913588485586,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPO_3e-7-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-DPO_5e-7-1ep_0alp_0lam,0.63,8.081986081140814,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPO_5e-7-1ep_0alp_0lam-details
JayHyeon/Qwen_0.5-DPO_5e-7-3ep_0alp_0lam,0.63,7.974924607629624,open-llm-leaderboard/JayHyeon__Qwen_0.5-DPO_5e-7-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-IPO_5e-7-1ep_0alp_0lam,0.63,8.328387378313979,open-llm-leaderboard/JayHyeon__Qwen_0.5-IPO_5e-7-1ep_0alp_0lam-details
JayHyeon/Qwen_0.5-IPO_5e-7-3ep_0alp_0lam,0.63,8.595287891585235,open-llm-leaderboard/JayHyeon__Qwen_0.5-IPO_5e-7-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-IRPO_1e-6-3ep_1alp_0lam,0.63,7.800520466258392,open-llm-leaderboard/JayHyeon__Qwen_0.5-IRPO_1e-6-3ep_1alp_0lam-details
JayHyeon/Qwen_0.5-IRPO_1e-7-3ep_1alp_0lam,0.63,8.273392756694859,open-llm-leaderboard/JayHyeon__Qwen_0.5-IRPO_1e-7-3ep_1alp_0lam-details
JayHyeon/Qwen_0.5-IRPO_3e-6-3ep_1alp_0lam,0.63,8.103245031991229,open-llm-leaderboard/JayHyeon__Qwen_0.5-IRPO_3e-6-3ep_1alp_0lam-details
JayHyeon/Qwen_0.5-IRPO_3e-7-3ep_1alp_0lam,0.63,8.09865538559358,open-llm-leaderboard/JayHyeon__Qwen_0.5-IRPO_3e-7-3ep_1alp_0lam-details
JayHyeon/Qwen_0.5-IRPO_5e-7-3ep_1alp_0lam,0.63,7.856695293795835,open-llm-leaderboard/JayHyeon__Qwen_0.5-IRPO_5e-7-3ep_1alp_0lam-details
JayHyeon/Qwen_0.5-MDPO_0.1_3e-6-3ep_0alp_0lam,0.63,8.047077683691153,open-llm-leaderboard/JayHyeon__Qwen_0.5-MDPO_0.1_3e-6-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-MDPO_0.1_5e-7-3ep_0alp_0lam,0.63,7.30787971874518,open-llm-leaderboard/JayHyeon__Qwen_0.5-MDPO_0.1_5e-7-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-MDPO_0.3_3e-6-3ep_0alp_0lam,0.63,7.891216810785522,open-llm-leaderboard/JayHyeon__Qwen_0.5-MDPO_0.3_3e-6-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-MDPO_0.3_5e-7-3ep_0alp_0lam,0.63,7.408853983144998,open-llm-leaderboard/JayHyeon__Qwen_0.5-MDPO_0.3_5e-7-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-MDPO_0.5_1e-5-3ep_0alp_0lam,0.63,7.59126646499979,open-llm-leaderboard/JayHyeon__Qwen_0.5-MDPO_0.5_1e-5-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-3ep_0alp_0lam,0.63,7.48846250817605,open-llm-leaderboard/JayHyeon__Qwen_0.5-MDPO_0.5_3e-7-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-MDPO_0.5_4e-6-3ep_0alp_0lam,0.63,8.137448792080777,open-llm-leaderboard/JayHyeon__Qwen_0.5-MDPO_0.5_4e-6-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-MDPO_0.5_6e-6-3ep_0alp_0lam,0.63,7.4529439055513045,open-llm-leaderboard/JayHyeon__Qwen_0.5-MDPO_0.5_6e-6-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-MDPO_0.5_7e-6-3ep_0alp_0lam,0.63,7.944784882371251,open-llm-leaderboard/JayHyeon__Qwen_0.5-MDPO_0.5_7e-6-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-MDPO_0.5_7e-7-3ep_0alp_0lam,0.63,7.6880135592533145,open-llm-leaderboard/JayHyeon__Qwen_0.5-MDPO_0.5_7e-7-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-MDPO_0.7_3e-6-3ep_0alp_0lam,0.63,7.816323890967756,open-llm-leaderboard/JayHyeon__Qwen_0.5-MDPO_0.7_3e-6-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-MDPO_0.7_5e-7-3ep_0alp_0lam,0.63,7.460108761190238,open-llm-leaderboard/JayHyeon__Qwen_0.5-MDPO_0.7_5e-7-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-MDPO_0.9_5e-7-3ep_0alp_0lam,0.63,7.877893571937886,open-llm-leaderboard/JayHyeon__Qwen_0.5-MDPO_0.9_5e-7-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-VDPO_3e-6-1ep_3vpo_const,0.63,7.151029068055777,open-llm-leaderboard/JayHyeon__Qwen_0.5-VDPO_3e-6-1ep_3vpo_const-details
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_0alp_0lam,0.63,8.018805167387615,open-llm-leaderboard/JayHyeon__Qwen_0.5-VDPO_5e-7-1ep_0alp_0lam-details
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_10vpo_const,0.63,8.070117533212565,open-llm-leaderboard/JayHyeon__Qwen_0.5-VDPO_5e-7-1ep_10vpo_const-details
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_1vpo_const,0.63,8.079611266480615,open-llm-leaderboard/JayHyeon__Qwen_0.5-VDPO_5e-7-1ep_1vpo_const-details
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_3vpo_const,0.63,7.784158197402131,open-llm-leaderboard/JayHyeon__Qwen_0.5-VDPO_5e-7-1ep_3vpo_const-details
JayHyeon/Qwen_0.5-VDPO_5e-7-3ep_0alp_0lam,0.63,8.039735734618104,open-llm-leaderboard/JayHyeon__Qwen_0.5-VDPO_5e-7-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-VDPO_5e-7-3ep_1vpo_const,0.63,8.004444649280561,open-llm-leaderboard/JayHyeon__Qwen_0.5-VDPO_5e-7-3ep_1vpo_const-details
JayHyeon/Qwen_0.5-VDPO_5e-7-3ep_3vpo_const,0.63,8.231694304691628,open-llm-leaderboard/JayHyeon__Qwen_0.5-VDPO_5e-7-3ep_3vpo_const-details
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_0alp_0lam,0.63,8.71371672694166,open-llm-leaderboard/JayHyeon__Qwen_0.5-VIPO_5e-7-1ep_0alp_0lam-details
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_10vpo_const,0.63,8.993052881905456,open-llm-leaderboard/JayHyeon__Qwen_0.5-VIPO_5e-7-1ep_10vpo_const-details
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_1vpo_const,0.63,8.292943161631719,open-llm-leaderboard/JayHyeon__Qwen_0.5-VIPO_5e-7-1ep_1vpo_const-details
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_30vpo_const,0.63,8.721617990921317,open-llm-leaderboard/JayHyeon__Qwen_0.5-VIPO_5e-7-1ep_30vpo_const-details
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,0.63,8.601146924480913,open-llm-leaderboard/JayHyeon__Qwen_0.5-VIPO_5e-7-1ep_3vpo_const-details
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_0alp_0lam,0.63,8.579605529729827,open-llm-leaderboard/JayHyeon__Qwen_0.5-VIPO_5e-7-3ep_0alp_0lam-details
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_10vpo_const,0.63,8.853042881324415,open-llm-leaderboard/JayHyeon__Qwen_0.5-VIPO_5e-7-3ep_10vpo_const-details
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_1vpo_const,0.63,9.001725127164766,open-llm-leaderboard/JayHyeon__Qwen_0.5-VIPO_5e-7-3ep_1vpo_const-details
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_30vpo_const,0.63,8.944503538443925,open-llm-leaderboard/JayHyeon__Qwen_0.5-VIPO_5e-7-3ep_30vpo_const-details
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_3vpo_const,0.63,8.730937881241061,open-llm-leaderboard/JayHyeon__Qwen_0.5-VIPO_5e-7-3ep_3vpo_const-details
JayHyeon/Qwen_0.5-cDPO_5e-7-3ep_0vpo_const_0.1,0.63,7.905104898093658,open-llm-leaderboard/JayHyeon__Qwen_0.5-cDPO_5e-7-3ep_0vpo_const_0.1-details
JayHyeon/Qwen_0.5-cDPO_5e-7-3ep_0vpo_const_0.3,0.63,7.980367592203365,open-llm-leaderboard/JayHyeon__Qwen_0.5-cDPO_5e-7-3ep_0vpo_const_0.3-details
JayHyeon/Qwen_0.5-rDPO_3e-6-1ep_0vpo_const_0.1,0.63,7.0836211579470865,open-llm-leaderboard/JayHyeon__Qwen_0.5-rDPO_3e-6-1ep_0vpo_const_0.1-details
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,0.63,8.149323958197453,open-llm-leaderboard/JayHyeon__Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1-details
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.3,0.63,7.7152906600553655,open-llm-leaderboard/JayHyeon__Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.3-details
MEscriva/ECE-PRYMMAL-0.5B-FT-V5-MUSR-Mathis,0.63,3.9187386193794325,open-llm-leaderboard/MEscriva__ECE-PRYMMAL-0.5B-FT-V5-MUSR-Mathis-details
RESMPDEV/Qwen2-Wukong-0.5B,0.63,4.975539710746782,open-llm-leaderboard/RESMPDEV__Qwen2-Wukong-0.5B-details
Sakalti/SJT-0.5B,0.63,8.576015804911226,open-llm-leaderboard/Sakalti__SJT-0.5B-details
Sakalti/SJTPass-2,0.63,8.578554710120141,open-llm-leaderboard/Sakalti__SJTPass-2-details
Youlln/ECE-PRYMMAL0.5B-Youri,0.63,3.505273892929676,open-llm-leaderboard/Youlln__ECE-PRYMMAL0.5B-Youri-details
Youlln/ECE.EIFFEIL.ia-0.5B-SLERP,0.63,8.829965651830063,open-llm-leaderboard/Youlln__ECE.EIFFEIL.ia-0.5B-SLERP-details
hotmailuser/QwenStock-0.5B,0.63,5.093186530380667,open-llm-leaderboard/hotmailuser__QwenStock-0.5B-details
matouLeLoup/ECE-PRYMMAL-0.5B-FT-V5-MUSR-Mathis,0.63,5.9763915232152165,open-llm-leaderboard/matouLeLoup__ECE-PRYMMAL-0.5B-FT-V5-MUSR-Mathis-details
mhl1/Qwen2.5-0.5B-cinstruct-stage1,0.63,4.551664639073516,open-llm-leaderboard/mhl1__Qwen2.5-0.5B-cinstruct-stage1-details
rombodawg/Rombos-LLM-V2.5-Qwen-0.5b,0.63,9.38591999487923,open-llm-leaderboard/rombodawg__Rombos-LLM-V2.5-Qwen-0.5b-details
someon98/qwen-CoMa-0.5b,0.63,5.858059919414088,open-llm-leaderboard/someon98__qwen-CoMa-0.5b-details
vonjack/Qwen2.5-Coder-0.5B-Merged,0.63,6.979693269720411,open-llm-leaderboard/vonjack__Qwen2.5-Coder-0.5B-Merged-details
V3N0M/Jenna-Tiny-2.0,0.631,5.519126028133118,open-llm-leaderboard/V3N0M__Jenna-Tiny-2.0-details
oopere/pruned60-llama-1b,0.753,5.46756672622325,open-llm-leaderboard/oopere__pruned60-llama-1b-details
iFaz/llama32_1B_en_emo_v1,0.765,10.934841101081998,open-llm-leaderboard/iFaz__llama32_1B_en_emo_v1-details
godlikehhd/qwen-2.5-1.5b-cherry,0.772,14.683674027867733,open-llm-leaderboard/godlikehhd__qwen-2.5-1.5b-cherry-details
google/flan-t5-large,0.783,9.658122925542836,open-llm-leaderboard/google__flan-t5-large-details
Sakalti/SJTPass-5,0.809,6.780863382054697,open-llm-leaderboard/Sakalti__SJTPass-5-details
openai-community/gpt2-large,0.812,5.567707192929642,open-llm-leaderboard/openai-community__gpt2-large-details
BEE-spoke-data/tFINE-900m-e16-d32-flan,0.887,4.597533011984676,open-llm-leaderboard/BEE-spoke-data__tFINE-900m-e16-d32-flan-details
BEE-spoke-data/tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,0.887,5.999886320692095,open-llm-leaderboard/BEE-spoke-data__tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024-details
BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,0.887,5.908138429401099,open-llm-leaderboard/BEE-spoke-data__tFINE-900m-e16-d32-instruct_2e-details
BEE-spoke-data/tFINE-900m-instruct-orpo,0.887,3.69630792495429,open-llm-leaderboard/BEE-spoke-data__tFINE-900m-instruct-orpo-details
Sakalti/SJT-900M,0.899,5.791993813854994,open-llm-leaderboard/Sakalti__SJT-900M-details
oopere/Llama-FinSent-S,0.914,5.86640376735036,open-llm-leaderboard/oopere__Llama-FinSent-S-details
oopere/pruned40-llama-1b,0.914,6.608357202270273,open-llm-leaderboard/oopere__pruned40-llama-1b-details
oopere/pruned40-llama-3.2-1B,0.914,6.877693765654211,open-llm-leaderboard/oopere__pruned40-llama-3.2-1B-details
NikolaSigmoid/AceMath-1.5B-Instruct-dolphin-r1-200,0.928,4.389863637734279,open-llm-leaderboard/NikolaSigmoid__AceMath-1.5B-Instruct-dolphin-r1-200-details
cckm/tinymistral_950m,0.955,5.219822920055284,open-llm-leaderboard/cckm__tinymistral_950m-details
Sakalti/Qwen2.5-1B-Instruct,0.988,4.275488298707521,open-llm-leaderboard/Sakalti__Qwen2.5-1B-Instruct-details
Sakalti/QwenTest-7,0.988,4.255208552096732,open-llm-leaderboard/Sakalti__QwenTest-7-details
openbmb/MiniCPM-S-1B-sft-llama-format,1.0,8.996065699730169,open-llm-leaderboard/openbmb__MiniCPM-S-1B-sft-llama-format-details
bigscience/bloom-1b1,1.065,4.025155876068456,open-llm-leaderboard/bigscience__bloom-1b1-details
