model,params_b,status,error,benchmark_rows
JayHyeon/Qwen2.5-0.5B-Instruct-SFT-MDPO-1epoch_v1,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-1e-4,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-2ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-3ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-5ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-1e-5,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-3ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-5ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-4,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-2ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-3ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-5ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_3e-7-3ep_0alp_5lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-2ep_0alp_5lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-1ep_0alp_5lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-2ep_0alp_5lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-7-2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_3ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_3ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-1ep_1alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-2ep_1alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-3ep_1alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_3e-7-3ep_1alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-1ep_1alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-2ep_1alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-3ep_1alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-1ep_1alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-3ep_1alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7_1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7_2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-3ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_1ep,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_2ep,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam_1ep,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam_2ep,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-2ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-5ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-2ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-3ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-5ep,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-DPO-1epoch_v1,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen2.5-0.5B-SFT-MDPO-1epoch_v1,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPOP_1e-6-3ep_0alp_5lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPOP_1e-7-3ep_0alp_5lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPOP_3e-6-1ep_0alp_5lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPOP_3e-6-2ep_0alp_5lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPOP_3e-6-3ep_0alp_5lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPOP_3e-7-1ep_0alp_5lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPOP_3e-7-2ep_0alp_5lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPOP_3e-7-3ep_0alp_5lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPOP_5e-7-1ep_0alp_5lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPOP_5e-7-2ep_0alp_5lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPOP_5e-7-3ep_0alp_5lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPO_1e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPO_1e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPO_3e-6-1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPO_3e-6-2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPO_3e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPO_3e-7-1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPO_3e-7-2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPO_3e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPO_5e-7-1ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPO_5e-7-2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-DPO_5e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-IPO_5e-7-1ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-IPO_5e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-IRPO_1e-6-3ep_1alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-IRPO_1e-7-3ep_1alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-IRPO_3e-6-1ep_1alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-IRPO_3e-6-2ep_1alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-IRPO_3e-6-3ep_1alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-IRPO_3e-7-1ep_1alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-IRPO_3e-7-3ep_1alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-IRPO_5e-7-1ep_1alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-IRPO_5e-7-2ep_1alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-IRPO_5e-7-3ep_1alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-MDPO_0.1_3e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-MDPO_0.1_5e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
