bank,N,r,mae,n_eval_models
3PL,73,0.6123,0.167,12
3PL,74,0.6117,0.167,12
3PL,75,0.612,0.1673,12
3PL,76,0.6167,0.1674,12
3PL,77,0.6203,0.1671,12
3PL,78,0.62,0.1672,12
3PL,79,0.6213,0.167,12
3PL,80,0.6219,0.1669,12
3PL,81,0.6231,0.1668,12
3PL,82,0.6248,0.1668,12
3PL,83,0.6243,0.1667,12
3PL,84,0.6224,0.1667,12
3PL,85,0.6272,0.1656,12
3PL,86,0.6273,0.1656,12
3PL,87,0.6267,0.1655,12
3PL,88,0.6293,0.1653,12
3PL,89,0.6295,0.1654,12
3PL,90,0.6323,0.1652,12
3PL,91,0.632,0.1651,12
3PL,92,0.6372,0.1653,12
3PL,93,0.6363,0.1654,12
3PL,94,0.6451,0.166,12
3PL,95,0.6477,0.1662,12
3PL,96,0.6481,0.1661,12
3PL,97,0.6563,0.1663,12
3PL,98,0.6694,0.1669,12
3PL,99,0.6683,0.167,12
3PL,100,0.6692,0.167,12
3PL,101,0.6689,0.1669,12
3PL,102,0.6706,0.1669,12
3PL,103,0.6759,0.1668,12
3PL,104,0.6764,0.1668,12
3PL,105,0.6802,0.1669,12
3PL,106,0.684,0.167,12
3PL,107,0.6859,0.1668,12
3PL,108,0.6875,0.1669,12
3PL,109,0.6891,0.1668,12
3PL,110,0.6896,0.1667,12
3PL,111,0.6896,0.1666,12
3PL,112,0.6909,0.1664,12
3PL,113,0.6936,0.1664,12
3PL,114,0.6948,0.1663,12
3PL,115,0.695,0.1661,12
3PL,116,0.695,0.1661,12
3PL,117,0.6955,0.1661,12
3PL,118,0.6954,0.166,12
3PL,119,0.6972,0.1658,12
3PL,120,0.6979,0.1658,12
3PL,121,0.6981,0.1659,12
3PL,122,0.6998,0.1658,12
3PL,123,0.7012,0.1658,12
3PL,124,0.6998,0.1658,12
3PL,125,0.7008,0.1658,12
3PL,126,0.7018,0.1659,12
3PL,127,0.7018,0.1659,12
3PL,128,0.7041,0.1659,12
3PL,129,0.707,0.166,12
3PL,130,0.707,0.166,12
3PL,131,0.7085,0.166,12
3PL,132,0.7065,0.1661,12
3PL,133,0.7055,0.166,12
3PL,134,0.706,0.1659,12
3PL,135,0.7066,0.1658,12
3PL,136,0.707,0.1658,12
3PL,137,0.7087,0.1655,12
3PL,138,0.7086,0.1655,12
3PL,139,0.7086,0.1655,12
3PL,140,0.7095,0.1655,12
3PL,141,0.7092,0.1655,12
3PL,142,0.71,0.1655,12
3PL,143,0.712,0.1653,12
3PL,144,0.7144,0.1651,12
3PL,145,0.7167,0.165,12
3PL,146,0.7206,0.1649,12
3PL,147,0.7241,0.1647,12
3PL,148,0.7261,0.1646,12
3PL,149,0.7281,0.1645,12
3PL,150,0.7325,0.1642,12
3PL,151,0.7379,0.1637,12
3PL,152,0.7377,0.1637,12
3PL,153,0.7698,0.162,12
3PL,154,0.7658,0.162,12
3PL,155,0.766,0.162,12
3PL,156,0.7642,0.162,12
3PL,157,0.7737,0.1615,12
3PL,158,0.7733,0.1615,12
3PL,159,0.7838,0.1609,12
3PL,160,0.7877,0.1612,12
3PL,161,0.7872,0.1613,12
3PL,162,0.7862,0.1613,12
3PL,163,0.7851,0.1614,12
3PL,164,0.7894,0.1612,12
3PL,165,0.7929,0.1613,12
3PL,166,0.7928,0.1614,12
3PL,167,0.792,0.1615,12
3PL,168,0.7942,0.1612,12
3PL,169,0.7932,0.1613,12
3PL,170,0.7957,0.1611,12
3PL,171,0.8001,0.1611,12
3PL,172,0.8278,0.158,12
3PL,173,0.827,0.1582,12
3PL,174,0.8279,0.1582,12
3PL,175,0.8273,0.1582,12
3PL,176,0.8273,0.1582,12
3PL,177,0.8273,0.1582,12
3PL,178,0.8281,0.1581,12
3PL,179,0.8281,0.1581,12
3PL,180,0.8316,0.1568,12
3PL,181,0.8318,0.1568,12
3PL,182,0.832,0.1568,12
3PL,183,0.8325,0.1568,12
3PL,184,0.8322,0.1568,12
3PL,185,0.832,0.1566,12
3PL,186,0.8301,0.1568,12
3PL,187,0.8301,0.1568,12
3PL,188,0.8334,0.157,12
3PL,189,0.8333,0.1571,12
3PL,190,0.8332,0.1571,12
3PL,191,0.8329,0.157,12
3PL,192,0.8328,0.157,12
3PL,193,0.8327,0.157,12
3PL,194,0.8329,0.157,12
3PL,195,0.8333,0.157,12
3PL,196,0.8332,0.1571,12
3PL,197,0.8334,0.157,12
3PL,198,0.8332,0.157,12
3PL,199,0.8336,0.157,12
3PL,200,0.8334,0.157,12
3PL,201,0.8334,0.157,12
3PL,202,0.8335,0.157,12
3PL,203,0.8338,0.1569,12
3PL,204,0.8338,0.1569,12
3PL,205,0.8339,0.1569,12
3PL,206,0.8335,0.1569,12
3PL,207,0.8334,0.1569,12
3PL,208,0.8342,0.1568,12
3PL,209,0.8342,0.1568,12
3PL,210,0.8351,0.1567,12
3PL,211,0.8349,0.1567,12
3PL,212,0.8361,0.1566,12
3PL,213,0.8364,0.1566,12
3PL,214,0.8364,0.1566,12
3PL,215,0.8363,0.1566,12
3PL,216,0.8366,0.1566,12
3PL,217,0.8369,0.1566,12
3PL,218,0.8367,0.1566,12
3PL,219,0.8367,0.1566,12
3PL,220,0.8369,0.1566,12
3PL,221,0.837,0.1566,12
3PL,222,0.8374,0.1566,12
3PL,223,0.8377,0.1566,12
3PL,224,0.8378,0.1565,12
3PL,225,0.8377,0.1565,12
3PL,226,0.838,0.1565,12
3PL,227,0.8382,0.1566,12
3PL,228,0.838,0.1566,12
3PL,229,0.8378,0.1566,12
3PL,230,0.8377,0.1566,12
3PL,231,0.838,0.1566,12
3PL,232,0.8379,0.1566,12
3PL,233,0.8384,0.1566,12
3PL,234,0.8385,0.1566,12
3PL,235,0.8385,0.1566,12
3PL,236,0.8384,0.1566,12
3PL,237,0.8384,0.1566,12
3PL,238,0.8385,0.1566,12
3PL,239,0.8388,0.1566,12
3PL,240,0.8387,0.1566,12
3PL,241,0.839,0.1565,12
3PL,242,0.8393,0.1565,12
3PL,243,0.8392,0.1565,12
3PL,244,0.8391,0.1565,12
3PL,245,0.8391,0.1565,12
3PL,246,0.8392,0.1565,12
3PL,247,0.8391,0.1565,12
3PL,248,0.8394,0.1565,12
3PL,249,0.8396,0.1565,12
3PL,250,0.8395,0.1565,12
3PL,251,0.8394,0.1565,12
3PL,252,0.8396,0.1565,12
3PL,253,0.8395,0.1565,12
3PL,254,0.8394,0.1565,12
3PL,255,0.8394,0.1565,12
3PL,256,0.8394,0.1565,12
3PL,257,0.8393,0.1565,12
3PL,258,0.8393,0.1564,12
3PL,259,0.8392,0.1564,12
3PL,260,0.8391,0.1564,12
3PL,261,0.8392,0.1564,12
3PL,262,0.8393,0.1564,12
3PL,263,0.8393,0.1564,12
3PL,264,0.8393,0.1564,12
3PL,265,0.8392,0.1564,12
3PL,266,0.8393,0.1564,12
3PL,267,0.8393,0.1564,12
3PL,268,0.8394,0.1564,12
3PL,269,0.8394,0.1564,12
3PL,270,0.8395,0.1564,12
3PL,271,0.8395,0.1564,12
3PL,272,0.8395,0.1563,12
3PL,273,0.8395,0.1563,12
3PL,274,0.8393,0.1563,12
3PL,275,0.8394,0.1563,12
3PL,276,0.8395,0.1563,12
3PL,277,0.8396,0.1563,12
3PL,278,0.8395,0.1563,12
3PL,279,0.8395,0.1563,12
3PL,280,0.8395,0.1563,12
3PL,281,0.8394,0.1563,12
3PL,282,0.8394,0.1563,12
3PL,283,0.8394,0.1563,12
3PL,284,0.8395,0.1563,12
3PL,285,0.8395,0.1563,12
3PL,286,0.8396,0.1563,12
3PL,287,0.8396,0.1563,12
3PL,288,0.8396,0.1563,12
3PL,289,0.8396,0.1563,12
3PL,290,0.8397,0.1563,12
3PL,291,0.8397,0.1563,12
3PL,292,0.8397,0.1563,12
3PL,293,0.8397,0.1563,12
3PL,294,0.8397,0.1563,12
3PL,295,0.8397,0.1563,12
3PL,296,0.8397,0.1563,12
3PL,297,0.8398,0.1563,12
3PL,298,0.8398,0.1563,12
3PL,299,0.8398,0.1563,12
3PL,300,0.8398,0.1563,12
3PL,301,0.8399,0.1563,12
3PL,302,0.8399,0.1563,12
3PL,303,0.8399,0.1563,12
3PL,304,0.8399,0.1563,12
3PL,305,0.8399,0.1563,12
3PL,306,0.8399,0.1563,12
3PL,307,0.8399,0.1563,12
3PL,308,0.8399,0.1563,12
3PL,309,0.8399,0.1563,12
3PL,310,0.8399,0.1563,12
3PL,311,0.8399,0.1563,12
3PL,312,0.8399,0.1563,12
3PL,313,0.8399,0.1563,12
3PL,314,0.8399,0.1563,12
3PL,315,0.8399,0.1563,12
3PL,316,0.8399,0.1563,12
3PL,317,0.8399,0.1563,12
3PL,318,0.8398,0.1563,12
3PL,319,0.8399,0.1563,12
3PL,320,0.8399,0.1563,12
3PL,321,0.8399,0.1562,12
3PL,322,0.8399,0.1562,12
3PL,323,0.8399,0.1562,12
3PL,324,0.84,0.1562,12
3PL,325,0.84,0.1562,12
3PL,326,0.84,0.1562,12
3PL,327,0.84,0.1562,12
3PL,328,0.84,0.1562,12
3PL,329,0.84,0.1562,12
3PL,330,0.84,0.1562,12
3PL,331,0.84,0.1562,12
3PL,332,0.84,0.1562,12
3PL,333,0.84,0.1562,12
3PL,334,0.84,0.1562,12
3PL,335,0.84,0.1562,12
3PL,336,0.84,0.1562,12
3PL,337,0.84,0.1563,12
3PL,338,0.84,0.1563,12
3PL,339,0.84,0.1563,12
3PL,340,0.84,0.1563,12
3PL,341,0.84,0.1563,12
3PL,342,0.84,0.1563,12
3PL,343,0.84,0.1563,12
3PL,344,0.84,0.1563,12
3PL,345,0.8401,0.1563,12
3PL,346,0.84,0.1563,12
3PL,347,0.84,0.1563,12
3PL,348,0.8401,0.1563,12
3PL,349,0.8401,0.1563,12
3PL,350,0.8401,0.1563,12
3PL,351,0.8401,0.1563,12
3PL,352,0.8401,0.1563,12
3PL,353,0.8401,0.1563,12
3PL,354,0.8401,0.1562,12
3PL,355,0.8401,0.1563,12
3PL,356,0.8401,0.1563,12
3PL,357,0.8401,0.1562,12
3PL,358,0.8401,0.1562,12
3PL,359,0.8401,0.1562,12
3PL,360,0.8401,0.1562,12
3PL,361,0.8401,0.1562,12
3PL,362,0.8402,0.1562,12
3PL,363,0.8402,0.1562,12
3PL,364,0.8402,0.1562,12
3PL,365,0.8402,0.1562,12
3PL,366,0.8402,0.1562,12
