model,params_b
KoboldAI/LLaMA2-13B-Tiefighter,13.0
mobidic/solar-10b-platypus-lora,10.0
Charlie911/MultiLoRA-llama2-mmlu,
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.1,70.0
viethq188/Rabbit-7B-v2-DPO-Chat,7.0
microsoft/WizardLM-2-7B,7.0
mayacinka/yam-sam-7B,7.0
YouKnwMe/Mistral-7B-Instruct-exp-e2,7.0
allknowingroger/Llama3merge7-15B-MoE,15.0
Locutusque/Hyperion-3.0-Mistral-7B-DPO,7.0
CorticalStack/mistral-7b-metamathqa-sft,7.0
Weyaxi/openchat-3.5-1210-Seraph-Slerp,
splm/openchat-spin-slimorca-iter1,
cloudyu/Mixtral_34Bx2_MoE_60B,60.0
Cesco2004/TW3CESCO.V3,
G-reen/EXPERIMENT-SFT-m7b2-2-merged,7.0
nbeerbower/bruphin-kappa,
liuchanghf/phi2_gsm8k_lora,
paulml/OmniBeagleMBX-v3-7B,7.0
ShenaoZhang/0.001_idpo_iter_2,
vanillaOVO/supermario_v2,
luffycodes/vicuna-class-tutor-7b-ep3,7.0
khKim/adapter_test,
kunkun666/kunkun_dat_llama_13b_alpaca,13.0
uukuguy/airoboros-m-7b-3.1.2-dare-0.85,7.0
s3nh/SeverusWestLake-7B-DPO,7.0
G-reen/EXPERIMENT-SFT-m7b2-3-merged,7.0
nlpguy/ColorShadow-7B-v3,7.0
yaojialzc/Gigi-Llama3-8B-Chinese-zh,8.0
aihub-app/ZySec-7B-v1,7.0
cloudyu/19B_TRUTH_DPO,19.0
NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2,7.0
ArianAskari/SOLID-SFT-DPO-MixQV2-SOLIDRejected-SFTChosen-Zephyr-7b-beta,7.0
jan-ai/Pandora-13B-v1,13.0
allknowingroger/MultiverseEx26-7B-slerp,7.0
birgermoell/llama-3-open-hermes-disco,
cognitivecomputations/dolphin-2.9-llama3-8b,8.0
hon9kon9ize/cantonesellm-cpt-202405,
LeroyDyer/Mixtral_AI_128k,
222gate/Blur-4x7b-MOE-v0.1,28.0
adamo1139/Yi-6B-200K-AEZAKMI-v2,6.0
Syed-Hasan-8503/Llama-3-8B-NOLA,8.0
statking/Meta-Llama-3-8B-Instruct-ORPO-QLoRA,8.0
cookinai/Llama-3-SOLAR-v0.1,
CultriX/NeuralTrix-7B-dpo,7.0
222limin/Liph-36-imatwarwithmyself,
kajdun/iubaris-13b-v3,13.0
OpenBuddy/openbuddy-mistral-22b-v21.1-32k,22.0
WDong/Qwen1.5-7B-sft-0506_7_7,7.0
TencentARC/LLaMA-Pro-8B,8.0
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.6-Abliterated,8.0
LewisDeBenoisIV/BillyTheKid1803,
juhwanlee/experiment2-non-cause-v1,
NLUHOPOE/Mistral-7B-attention-100000,7.0
abacusai/Smaug-70B-v0.1,70.0
allknowingroger/WestLakeLaser-12B-MoE,12.0
Delcos/Velara-11B-v3,11.0
Qwen/Qwen1.5-MoE-A2.7B-Chat,2.7
Undi95/Mistral-11B-v0.1,11.0
alvarobartt/mistral-7b-orpo-capybara-reproduction,7.0
abacusai/MM-OV-bagel-DPO-34b-c1000-250,34.0
Kquant03/NeuralTrix-7B-dpo-relaser,7.0
saishf/Fimbulvetr-Kuro-Lotus-10.7B,10.7
Sao10K/SOLAR-10.7B-NahIdWin,10.7
UCLA-AGI/zephyr-7b-sft-full-SPIN-iter3,7.0
Locutusque/lr-experiment1-7B,7.0
eren23/dpo-binarized-NeuralTrix-7B,7.0
LeroyDyer/Mixtral_AI_Cyber_MegaMind_3_0,
alnrg2arg/test3_sft_4bit,
nbeerbower/flammen3,
juhwanlee/llmdo-Mistral-7B-case-7,7.0
Steelskull/Etheria-55b-v0.1,55.0
chatty123/mistral_rank16_sft,
adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301,34.0
dddsaty/Merge_Sakura_Solar,
krevas/LDCC-Instruct-Llama-2-ko-13B,13.0
grimjim/cuckoo-starling-32k-7B,7.0
yanolja/EEVE-Korean-2.8B-v1.0,2.8
linlinlin/zephy_SFT_Hermes,
chlee10/T3Q-Platypus-Mistral7B,7.0
netcat420/MFANNv0.5,
augmxnt/shisa-base-7b-v1,7.0
ericpolewski/Palworld-SME-13b,13.0
ZoidBB/Kory-0.1-11b-pre1,11.0
liuda1/Mistral-7B-golden,7.0
tushar310/MisGemma-7B,7.0
Weyaxi/Einstein-v4-phi2,
ConvexAI/Luminex-32B-v0.2,32.0
weezywitasneezy/OxytocinErosEngineeringFX-7B-slerp,7.0
allknowingroger/CeptrixBeagle-12B-MoE,12.0
wang7776/Llama-2-7b-chat-hf-20-sparsity,7.0
dddsaty/Open_Ko_SOLAR_DPO_Merge_v0.1,
Eang/Marcoro14-7B-slerp,7.0
vanillaOVO/supermario_v1,
MaziyarPanahi/TheTop-5x7B-Instruct-D-v0.1,35.0
Sao10K/Typhon-Mixtral-v1,
saucam/Arithmo-Wizard-2-7B,7.0
paulml/OmniBeagleSquaredMBX-v3-7B,7.0
Gille/StrangeMerges_48-7B-dare_ties,7.0
ddyuudd/mistral_kmmbr_32_sig,
jsfs11/MixtureofMerges-MoE-v2,
wenbopan/Faro-Yi-9B-DPO,9.0
Eurdem/Defne_llama3_2x8B,16.0
migtissera/Tess-2.0-Mixtral-v0.2,
MediaTek-Research/Breeze-7B-Instruct-v1_0,7.0
ZhangShenao/0.001_idpo_declr_4iters_iter_4,
gmonsoon/OpenMia-Indo-Engineering,
kekmodel/StopCarbon-10.7B-v6,10.7
AA051610/A12P,
perlthoughts/Chupacabra-7B-v2.03-128k,7.0
HIT-SCIR/huozi3,
JaeyeonKang/CCK-v1.3.0-DPO,
LLMNewbie/vic_critT_20pr,
elinas/Llama-3-13B-Instruct-ft,13.0
Changgil/K2S3-Mistral-7b-v1.48,7.0
WDong/7B-0428,7.0
jeiku/Cookie_7B,7.0
rizla/rizla54,
Aryanne/Open-StarLake-Swap-7B,7.0
AA051615/A0204,
SCE/Mistral-7B-summ-lora-tuned,7.0
allknowingroger/DolphinChat-7B-slerp,7.0
chlee10/T3Q-Merge-Mistral7B,7.0
augmxnt/shisa-gamma-7b-v1,7.0
Kquant03/Buttercup-V2-laser,
MaziyarPanahi/TheTop-5x7B-Instruct-S5-v0.1,35.0
codemateai/CodeMate-v0.1,
Fredithefish/OpenZephyrChat,
Minami-su/IA_14B,14.0
amu/spin-phi2,
rishiraj/oswald-4x7b,28.0
starmpcc/Asclepius-Llama2-13B,13.0
varox34/minillm-7B-init-13B-sft,13.0
leveldevai/MarcDareBeagle-7B,7.0
allknowingroger/Strangecoven-7B-slerp,7.0
dball/zephyr-7b-sft-qlora,7.0
MaziyarPanahi/Experiment26Yam_Ognoexperiment27Multi_verse_model,
liminerity/Phigments12,
shyamieee/JARVIS-v3.0,
AlanRobotics/nanit_v3.2,
cgato/Thespis-7b-v0.2-SFTTest-3Epoch,7.0
DreadPoor/BagelLake-7B-slerp,7.0
damerajee/Gaja-v2.00-dpo,
andysalerno/openchat-nectar-0.8,
rwitz/experiment26-truthy-iter-0,
vicgalle/NeuralBeagle-11B-truthy,11.0
0-hero/Matter-0.1-Slim-7B-A,7.0
crumb/apricot-wildflower-20,
Novocoders/jaskier-7b-NeuralDPO,7.0
meta-llama/Meta-Llama-3-8B,8.0
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,7.0
NurtureAI/Orca-2-13B-16k,13.0
TRI-ML/mamba-7b-rw,7.0
ozayezerceli/Lowke-2x7B-v1,14.0
ZySec-AI/ZySec-7B,7.0
vicgalleorg/test1,
mayacinka/Buttercup-7b-dpo-ties,7.0
NLUHOPOE/experiment2-cause-non,
maldv/winter-garden-7b-beta,7.0
GeorgiaTech/0.0005_llama_nodpo_3iters_bs128_531lr_oldtrl_iter_2,
Xenon1/Xenon-2,
Joseph717171/SOLAR-19.2B-Instruct-v1.0,19.2
rwitz/experiment26-truthy-iter-1,
abacusai/Giraffe-13b-32k-v3,13.0
unsloth/mistral-7b-v0.2,7.0
AA051612/A0125,
Isaak-Carter/JOSIE_Beta-4-7B-slerp,7.0
jilp00/SOLAR-10.7B-tutored,10.7
perlthoughts/neural-chat-v3-3-8x7b-MoE,56.0
allknowingroger/LadybirdGonzo-7B-slerp,7.0
meta-llama/Meta-Llama-3-8B-Instruct,8.0
KnutJaegersberg/Deacon-34b-qlora-adapter,34.0
lloorree/jfdslijsijdgis,
hfl/chinese-alpaca-2-13b,13.0
umd-zhou-lab/recycled-wizardlm-7b-v2.0,7.0
CortexLM/btlm-v1-7b-base-v0.1,7.0
TIGER-Lab/MAmmoTH2-8B-Plus,8.0
Kukedlc/NeuralKukedlc-7B-Labonned,7.0
AdaptLLM/medicine-chat,
ZhangShenao/0.001_idpo_declr_iter_3,
uukuguy/speechless-mistral-six-in-one-7b,7.0
chihoonlee10/T3Q-DPO-Mistral-7B,7.0
ammarali32/multi_verse_model,
robinsmits/Mistral-Instruct-7B-v0.2-ChatAlpacaV2-4bit,7.0
uukuguy/SynthIA-7B-v1.3-dare-0.85,7.0
AbacusResearch/RasGulla1-7b,7.0
cloudyu/60B_MoE_Coder_v3,60.0
Azure99/blossom-v5-llama3-8b,8.0
Eric111/Mistral-7B-Instruct_v0.2_UNA-TheBeagle-7b-v1,7.0
xxyyy123/10k_v1_lora_qkvo_rank14_v3,
JCX-kcuf/Llama-2-7b-chat-hf-gpt-3.5-80k-base_lora,7.0
ShenaoZ/0.0_withdpo_4iters_bs256_5551lr_iter_4,
zhengr/MixTAO-7Bx2-MoE-Instruct-v7.0,
field2437/phi-2-test,
kekmodel/StopCarbon-10.7B-v4,10.7
uukuguy/neural-chat-7b-v3-1-dare-0.85,7.0
PSanni/MPOMixtral-8x7B-Instruct-v0.1,56.0
BTAgent/BTAgent-v0.1,
jsfs11/MixtureofMerges-MoE-4x7b-v5,28.0
DreadPoor/Bageluccine-2-7B-slerp,7.0
robinsmits/Qwen1.5-7B-Dutch-Chat-Sft,7.0
janhq/supermario-slerp-v2,
Novocoders/Mistral-NeuralDPO-v0.6,
allknowingroger/PrometheusLaser-7B-slerp,7.0
saishf/Kuno-Lake-7B,7.0
macadeliccc/Laser-WestLake-2x7b,14.0
Weyaxi/Seraph-openchat-3.5-1210-Slerp,
Gille/StrangeMerges_51-7B-dare_ties,7.0
nbeerbower/llama-3-slerp-kraut-dragon-8B,8.0
frankenmerger/delta-4b-orange,4.0
Gille/StrangeMerges_42-7B-dare_ties,7.0
vicgalle/CarbonBeagle-11B-truthy,11.0
cookinai/LlamaReflect-8B-CoT,8.0
yam-peleg/Experiment7-7B,7.0
CultriX/MonaTrix-v6,
chavinlo/alpaca-native,
ldahee/SLAL-0.1,
liminerity/binarized-ingotrix-slerp-7b,7.0
adamo1139/Mistral-7B-AEZAKMI-v1,7.0
Charlie911/vicuna-7b-v1.5-general-temporal-merged,7.0
Locutusque/OpenCerebrum-1.5-Mistral-7b-v0.2-alpha,7.0
samir-fama/FernandoGPT-v1,
Inv/Kazbek-7B,7.0
rwitz2/ipo-test,
MaziyarPanahi/Calme-7B-Instruct-v0.9,7.0
TheSkullery/Aurora_25e_Test,
jisukim8873/mistral-7B-alpaca-case-1-2,7.0
Jingyu6/MergeTest-7B-slerp,7.0
ShenaoZ/0.0005_withdpo_4iters_bs256_5551lr_iter_4,
voidful/qd-phi-1_5,
invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp,10.7
abhishekchohan/mistral-7B-forest-dpo,7.0
DrNicefellow/ChatAllInOne-Yi-34B-200K-V1,34.0
Test157t/Prima-Pastacles-7b-128k,7.0
chargoddard/internlm2-base-7b-llama,7.0
SanjiWatsuki/Sonya-7B,7.0
ddyuudd/mistral_dmbr20_32_sig,
CultriX/NeuralCeptrix-7B-SLERP,7.0
BarraHome/Mistroll-7B-v0.3-16bit,7.0
naseerfaheem/SOLAR-10.7B-Instruct-ties,10.7
DUAL-GPO/phi-2-gpo-renew2-b0.001-0.5ultrafeedback-i1,
mindy-labs/mindy-7b-v2,7.0
Abhinav7/NeuralPipe-7B-slerp,7.0
CorticalStack/pastiche-crown-clown-7b-dare-dpo,7.0
Corianas/NearalMistral-2x7B,14.0
shadowml/Beyonder-4x7B-v2,28.0
alnrg2arg/blockchainlabs_test3_seminar,
0ai/0ai-7B-v3,7.0
athirdpath/Orca-2-13b-Alpaca-Uncensored,13.0
Test157t/Eris-Daturamix-7b,7.0
gagan3012/MetaModelv2,
cloudyu/Pluto_24B_DPO_200,24.0
OpenBuddy/openbuddy-deepseek-67b-v15.2,67.0
Weyaxi/Einstein-v5-v0.2-7B,7.0
kaist-ai/mistral-orpo-alpha,
ryan0712/llama-3-8b-slow-DUS-method-1,8.0
adamo1139/yi-34b-200k-rawrr-dpo-2,34.0
andysalerno/openchat-nectar-0.6,
AA051615/L0223,
nlpguy/StockFuseChat,
vicgalle/NeuralBeagle-11B,11.0
ChaoticNeutrals/Eris_PrimeV3-Vision-7B,7.0
Inv/Konstanta-Gamma-10.9B,10.9
lcw99/llama-3-10b-it-kor-extented-chang-pro8,10.0
FlagAlpha/Llama3-Chinese-8B-Instruct,8.0
louisbrulenaudet/Pearl-7B-0210-dare,7.0
diffnamehard/Mistral-CatMacaroni-slerp-gradient,
01-ai/Yi-1.5-9B-Chat,9.0
Xenon1/Eclipse-7B,7.0
zhengr/MixTAO-7Bx2-MoE-v8.1,
jondurbin/bagel-dpo-7b-v0.4,7.0
lole25/phi-2-sft-lora-ultrachat,
hamxea/Mistral-7B-v0.1-activity-fine-tuned-v5,7.0
fhai50032/RPLakeCoder-TxC,
MiniMoog/Mergerix-7b-v0.5,7.0
Radiantloom/radintloom-mistral-7b-fusion,7.0
openagi-project/OpenAGI-7B-v0.1-test-ada,7.0
indischepartij/OpenMia-Indo-Engineering-7b,7.0
chujiezheng/zephyr_0.2_a2.5,
Badgids/Gonzo-Code-7B,7.0
Charlie911/zephyr-7b-beta-MultiLoRA-mmlu-merged,7.0
bardsai/jaskier-7b-dpo-v4.3,7.0
0-hero/Matter-0.2-7B,7.0
LeroyDyer/Mixtral_AI_CyberTron_Ultra,
Cran-May/Test2_SLIDE,
abhishekchohan/mistral-7B-med-merge,7.0
SC56/Mistral-7B-orca-dpo-2h,7.0
chargoddard/piano-medley-7b,7.0
Undi95/Llama2-13B-no_robots-alpaca-lora,13.0
SCE/Mistral-7B-math-ia3-pruned20,7.0
CausalLM/7B-DPO-alpha,7.0
lgaalves/mistral-7b_open_platypus,7.0
jan-hq/supermario-v2,
Kquant03/DolphinHermesPro-ModelStock,
abhishek/autotrain-8kfjk-b3gva,
NLUHOPOE/experiment2-cause,
x2bee/POLAR-14B-v0.2,14.0
abacusai/Smaug-72B-v0.1,72.0
VAGOsolutions/Llama-3-SauerkrautLM-8b-Instruct,8.0
ycros/BagelMIsteryTour-v2-8x7B,56.0
conceptofmind/LLongMA-2-7b-16k,7.0
TinyPixel/llama2-7b-instruct,7.0
LeroyDyer/Mixtral_AI_MasterTron,
vaiv/llamion-14b-base,14.0
ehartford/dolphin-2.2.1-mistral-7b,7.0
tricktreat/Llama-2-7b-chat-hf-guanaco-freeze-embed-tokens-q-v-proj-lora,7.0
BarraHome/rezephyr-dpo,
ShadowFall09/tyc_test1,
TheBloke/Lemur-70B-Chat-v1-GPTQ,70.0
ewqr2130/llama_ppo_1e6step_4000,
AA051615/A0308-G,
seb-c/Psydestroyer-20B,20.0
vikash06/doctorLLM,
Radu1999/Mistral-Instruct-Ukrainian-SFT,
decapoda-research/Antares-11b-v1,11.0
dawn17/MaidStarling-2x7B-base,14.0
Eric111/CatunaMayo,
Jaume/openchat-3.5-0106-mod-gpt5,
quantumaikr/llama-2-70b-fb16-guanaco-1k,70.0
diffnamehard/Psyfighter2-Noromaid-ties-13B,13.0
cloudyu/mistral_15B_instruct_v0.1,15.0
jilp00/OpenHermes-Symbolic-Mistral-7B,7.0
922CA/Silicon-Natsuki-7b,7.0
binbi/Ein-72B-v0.1,72.0
AA051611/A0113,
chatty123/mistral_rank8_sft,
vihangd/smartsolmix-4x10.7b-v1,42.8
seyf1elislam/WestKunai-X-7b,7.0
eren23/ogno-monarch-jaskier-merge-7b-v2,7.0
LeroyDyer/Mixtral_Instruct,
pinkyponky/Mistral-7B-Instruct-Sft-Tuned-V0.2,7.0
teknium/OpenHermes-2-Mistral-7B,7.0
Technoculture/MT7Bi-alpha-dpo-v0.2,
ChavyvAkvar/habib-DPO-v2,
mlinmg/SG-Raccoon-Yi-200k-2.0,
Sao10K/Venomia-m7,
RatanRohith/MistralBeagle-RS-7B-V0.1,7.0
01-ai/Yi-1.5-34B-Chat-16K,34.0
splm/openchat-spin-slimorca-iter2,
bardsai/jaskier-7b-dpo,7.0
allknowingroger/limyClown-7B-slerp,7.0
ewqr2130/alignment-handbook-zephyr-7b-sft-full-dpo-5e7-cont1,7.0
SLAM-group/NewHope,
JunchengXie/Mistral-7B-Instruct-v0.1-gpt-4-80k-base_lora,7.0
allknowingroger/LeeMerge-7B-slerp,7.0
LeroyDyer/Mixtral_AI_128k_b,
freecs/ThetaWave-7B-v0.2,7.0
cloudyu/Mistral-9B-Instruct,9.0
RaduGabriel/SirUkrainian,
mahiatlinux/MasherAI-v6.1-7B-eval-test,7.0
Gille/StrangeMerges_23-7B-slerp,7.0
Undi95/Miqu-MS-70B,70.0
ChaoticNeutrals/Eris_Remix_7B,7.0
cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_full_linear_DPO,
WizardLM/WizardMath-7B-V1.1,7.0
chujiezheng/tulu-2-dpo-70b-ExPO,70.0
vicgalle/solarized-13B-dpo,13.0
clowman/openchat-mistral-7b-reproduce,7.0
silvercoder67/Mistral-7b-instruct-v0.2-summ-sft-dpo-e3,7.0
yam-peleg/Experiment26-7B,7.0
flammenai/flammen24-mistral-7B,7.0
AlanRobotics/nanit,
KnutJaegersberg/Deita-32b,32.0
senseable/Trillama-8B,8.0
SF-Foundation/TextBase-7B-v0.1,7.0
allknowingroger/TripleMerge-7B-Ties,7.0
raincandy-u/Llama-3-Aplite-Instruct-4x8B,32.0
nasiruddin15/Neural-grok-dolphin-Mistral-7B,7.0
saucam/Proteus-8B,8.0
TitleOS/ExperimentTwo,
nbeerbower/flammen,
ChaoticNeutrals/Eris_Floramix_DPO_7B,7.0
mayacinka/yam-jom-7B-dare,7.0
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.4,8.0
JCX-kcuf/Mistral-7B-v0.1-gpt-4-80k,7.0
wang7776/Mistral-7B-Instruct-v0.2-sparsity-10,7.0
SJ-Donald/SJ-SOLAR-10.7b-DPO,10.7
YKM11/Mistral-7B-adaptv1,7.0
Noodlz/DolphinLake-7B,7.0
CultriX/MergeTrix-7B-v2,7.0
vanillaOVO/supermario_v3,
wassemgtk/16b-experiment-llama-2,16.0
ddyuudd/m_b_4_32,
XuanXuanXuanXuan/Llama-2-7b-hf-gpt-3.5-80k,7.0
azarafrooz/mistral-v2-7b-selfplay-low-tmp,7.0
AA051610/C0318-G,
allknowingroger/MultiCalm-7B-slerp,7.0
Eric111/Mistral-7B-Instruct-v0.2_openchat-3.5-0106,7.0
freeCS-dot-org/Zero-7B-test-3,7.0
ZoidBB/unraveled-7b-a1,7.0
Cartinoe5930/iDUS-8layers,
CorticalStack/mistral-7b-tak-stack-dpo,7.0
FelixChao/MathDolphin-7B,7.0
JaeyeonKang/CCK_Gony_v3.1,
MisterRid/saulgoodman-7b-alpha1,7.0
vilm/Quyen-Pro-v0.1,
DreadPoor/connate-7B-slerp,7.0
fblgit/LUNA-SOLARkrautLM-Instruct,
Replete-AI/Phi-5B-Test,5.0
PetroGPT/Voldemort-10B-DPO,10.0
dhanushreddy29/BrokenKeyboardMerge,
abacusai/Llama-3-Giraffe-70B,70.0
Test157t/Prima-LelantaclesV6.25-7b,7.0
amu/dpo-phi2,
MaziyarPanahi/Llama-3-8B-Instruct-v0.3,8.0
FelixChao/Gemma-10.2B-Coder,10.2
Technoculture/Medtulu-2x7b,14.0
localfultonextractor/Erosumika-7B-v2,7.0
logicker/SkkuDS-DPO-72B-v3,72.0
jukofyork/Eurus-70b-nca-fixed,70.0
froggeric/WestLake-10.7B-v2,10.7
abacusai/Liberated-Qwen1.5-14B,14.0
allknowingroger/RasGullaINEX12-7B-slerp,7.0
MisterRid/wendigo-14b-alpha4,14.0
PotatoOff/HamSter-0.2,
jikaixuan/test,
wenbopan/Faro-Yi-9B,9.0
viethq188/Rabbit-7B-DPO-Chat,7.0
Cartinoe5930/Llama2_init_Mistral,
monster119120/OpenHermes-2.5-Mistral-7B-new,7.0
222gate/Blurred-Beagle-7b-slerp,7.0
hamxea/Llama-2-7b-chat-hf-activity-fine-tuned-v4,7.0
fzzhang/mistralv1_gsm8k_merged,
indischepartij/OpenMia-Indo-Mistral-7b-v4,7.0
mlabonne/Zebrafish-7B,7.0
alnrg2arg/test2_4,
Korabbit/Llama-2-7b-chat-hf-afr-100step-v2,7.0
01-ai/Yi-1.5-34B,34.0
mistral-community/Mistral-7B-v0.2,7.0
PistachioAlt/Synatra-MCS-7B-v0.3-RP-Slerp,7.0
mosaicml/mpt-30b,30.0
CorticalStack/pikus-pikantny-7B-dare,7.0
bardsai/jaskier-7b-dpo-v2,7.0
LHC88/LaseredHermes-7B-v1,7.0
kunkun666/kunkun_dat,
abideen/NexoNimbus-7B,7.0
mistralai/Mixtral-8x22B-Instruct-v0.1,176.0
cognitivecomputations/laserxtral,
DreadPoor/RoyalMaid-7B-slerp,7.0
Locutusque/Orca-2-13b-SFT-v6,13.0
u66u/NeuralJaskier-7b-dpo,7.0
paulml/NeuralOmniWestBeaglake-7B,7.0
TheSkullery/Aura-llama,
abideen/gemma-7b-openhermes,7.0
Kukedlc/Fasciculus-Arcuatus-7B-slerp,7.0
MiniMoog/Mergerix-7b-v0.1,7.0
lodrick-the-lafted/Olethros-8B,8.0
GritLM/GritLM-7B,7.0
SC56/Mistral-7B-sumz-dpo-4h,7.0
wang7776/Llama-2-7b-chat-hf-10-sparsity,7.0
cognitivecomputations/dolphin-2.8-experiment26-7b,7.0
Kukedlc/NeuralLLaMa-3-8b-ORPO-v0.3,8.0
mychen76/mistral-7b-merged-dare,7.0
Kukedlc/NeuralGanesha-7b,7.0
hfl/llama-3-chinese-8b-instruct-v2,8.0
seyf1elislam/WestKunai-Hermes-7b,7.0
nlpguy/T3QM7X,
Hertz/Mistral-Hermes-2x7b,14.0
sonthenguyen/OpenHermes-2.5-Mistral-7B-mt-bench-DPO-original-v2,7.0
Menouar/phi-2-basic-maths,
Weyaxi/Cosmosis-3x34B,102.0
LeroyDyer/Mixtral_AI_Cyber_3.1_SFT,
Yuma42/KangalKhan-HardRuby-7B,7.0
Sao10K/Shiki-m7,
gmonsoon/delta-4b-orange,4.0
Mr-Bhaskar/fbt-gemma-7b,7.0
nbeerbower/bruphin-lambda,
CallComply/openchat-3.5-0106-11b,11.0
g-ronimo/phi-2-OpenHermes-2.5,
LeroyDyer/Mixtral_AI_CyberTron_DeepMind_III_UFT,
one-man-army/una-neural-chat-v3-3-P2-OMA,
brucethemoose/Yi-34B-200K-DARE-merge-v5,34.0
NeverSleep/Noromaid-13b-v0.2,13.0
saishf/Fett-uccine-11B-Experiment,11.0
google/gemma-7b-it,7.0
TeeZee/Buttocks-7B-v1.1,7.0
fzzhang/Marcoroni-neural-chat-7B-v2_gsm8k_merged,7.0
XuanXuanXuanXuan/Mistral-7B-Instruct-v0.1-gpt-4-80k,7.0
baconnier/banker,
pankajmathur/orca_mini_v3_70b,70.0
RatanRohith/NeuralPizza-7B-V0.2,7.0
jsfs11/WildMBXMarconi-SLERP-7B,7.0
wenbopan/Faro-Yi-34B,34.0
genaicore3434/MistralLite-summ-sft-e1,
jondurbin/bagel-34b-v0.5,34.0
hamxea/Llama-2-13b-chat-hf-activity-fine-tuned-v4,13.0
Walmart-the-bag/Misted-v2-7B,7.0
Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct,
vanillaOVO/merge_7B_state_2,7.0
codellama/CodeLlama-70b-Python-hf,70.0
MisterRid/saulgoodman-2x7b-alpha1,14.0
YouKnowMee/Mistral-7b-instruct-v0.2-summ-sft-dpo-ed3,7.0
xxyyy123/Mistral7B_adaptor_v1,7.0
s3nh/Mistral_Sonyichi-7B-slerp,7.0
mlabonne/Monarch-7B,7.0
vicgalle/OpenHermes-Gemma-7B,7.0
MaziyarPanahi/Calme-7B-Instruct-v0.3,7.0
Neuronovo/neuronovo-7B-v0.1,7.0
RatanRohith/NeuralPizza-7B-V0.1,7.0
nlpguy/StarFusion-alpha1,
Mihaiii/Pallas-0.2,
fblgit/UNA-TheBeagle-7b-v1,7.0
abacusai/Fewshot-Metamath-OrcaVicuna-Mistral-10B,10.0
rmihaylov/Llama-3-DARE-v1-8B,8.0
Eric111/CatunaLaserPi-DPO,
kyujinpy/PlatYi-34B-LoRA,34.0
HanNayeoniee/LHK_DPO_v1,
Changgil/K2S3-Mistral-7b-v1.2,7.0
0-hero/Matter-0.1-7B-boost,7.0
ajibawa-2023/Code-Mistral-7B,7.0
ab24g21/LaterLlamaV2,
Q-bert/Optimus-7B,7.0
u-chom/preded-title-amazongoogle-abtbuy,
tianyil1/denas-llama2,
netcat420/MFANNv0.11,
RubielLabarta/LogoS-7Bx2-MoE-13B-v0.2,13.0
intervitens/internlm2-base-20b-llama,20.0
ChuckMcSneed/SMaxxxer-v1-70b,70.0
Isotonic/Hermes-2-Pro-Mixtral-4x7B,28.0
AetherResearch/Cerebrum-1.0-8x7b,56.0
giraffe176/WestLake_Noromaid_OpenHermes_neural-chat,
Corianas/Neural-Mistral-7B,7.0
euclaise/Ferret_7B,7.0
NeuralNovel/Ignis-7B-DPO-Laser,7.0
NousResearch/Nous-Hermes-Llama2-70b,70.0
paulilioaica/Hugo-7B-slerp,7.0
ZhangShenao/0.0_ablation_sample1_4iters_bs256_iter_3,
Weyaxi/Seraph-7B,7.0
haoranxu/ALMA-7B,7.0
allknowingroger/Experimentmultiverse-7B-slerp,7.0
SC99/Mistral-7B-privatemix-ia2,7.0
ManniX-ITA/Starling-LM-7B-beta-LaserRMT-v1,7.0
YeungNLP/LongQLoRA-Llama2-7b-8k,7.0
xxyyy123/test_merge_p_ov1_w0.66_w0.5_n1,
Kukedlc/MyModelsMerge-7b,7.0
ndavidson/Phi-2-openassistant,
yanolja/KoSOLAR-10.7B-v0.3,10.7
jambroz/sixtyoneeighty-7b-MOE,7.0
failspy/llama-3-70B-Instruct-abliterated,70.0
01-ai/Yi-1.5-34B-Chat,34.0
UCLA-AGI/zephyr-7b-sft-full-SPIN-iter1,7.0
HuggingFaceH4/zephyr-7b-gemma-v0.1,7.0
RatanRohith/NeuralPizza-7B-V0.3,7.0
SC44/Mistral-7B-private-spef,7.0
mncai/mistral-7b-dpo-merge-v1.1,7.0
FelixChao/Sectumsempra-7B-DPO,7.0
saucam/aqua-smaug-0.3-8B,8.0
chaoyi-wu/MedLLaMA_13B,13.0
DreadPoor/IamSoTired-7B-slerp,7.0
LeroyDyer/Mixtral_BioMedical,
Kukedlc/NeuralSynthesis-7B-v0.2,7.0
0-hero/Matter-0.1-7B,7.0
alnrg2arg/blockchainlabs_7B_merged_test2_4_prune,7.0
mlabonne/Darewin-7B,7.0
allknowingroger/StarlingDolphin-7B-slerp,7.0
Ba2han/Cucumber-7b-10k,7.0
aaditya/OpenBioLLM-Llama3-8B,8.0
itsliupeng/test_6b,6.0
hooking-dev/Monah-8b-Uncensored-v0.2,8.0
Gille/StrangeMerges_32-7B-slerp,7.0
fhai50032/SamCoder-TxC,
wenbopan/Faro-Yi-34B-200K,34.0
