bank,N,r,mae,n_eval_models
2PL,38,0.948,0.0719,13
2PL,39,0.9483,0.0731,13
2PL,40,0.9472,0.0727,13
2PL,41,0.9497,0.0724,13
2PL,42,0.9524,0.0728,13
2PL,43,0.9555,0.073,13
2PL,44,0.9551,0.0719,13
2PL,45,0.9558,0.0722,13
2PL,46,0.9547,0.0713,13
2PL,47,0.9545,0.0714,13
2PL,48,0.9573,0.0713,13
2PL,49,0.9593,0.0714,13
2PL,50,0.9592,0.0715,13
2PL,51,0.9613,0.0717,13
2PL,52,0.9635,0.0709,13
2PL,53,0.9653,0.0713,13
2PL,54,0.9634,0.0723,13
2PL,55,0.9637,0.0715,13
2PL,56,0.9643,0.0719,13
2PL,57,0.9618,0.0719,13
2PL,58,0.961,0.0725,13
2PL,59,0.9629,0.0727,13
2PL,60,0.9622,0.0719,13
2PL,61,0.9626,0.0711,13
2PL,62,0.9613,0.0715,13
2PL,63,0.9627,0.0721,13
2PL,64,0.9636,0.0714,13
2PL,65,0.9628,0.0718,13
2PL,66,0.9629,0.0721,13
2PL,67,0.9644,0.0716,13
2PL,68,0.964,0.0712,13
2PL,69,0.9631,0.0713,13
2PL,70,0.9647,0.0721,13
2PL,71,0.9662,0.0722,13
2PL,72,0.9672,0.0723,13
2PL,73,0.9675,0.0724,13
2PL,74,0.9667,0.0725,13
2PL,75,0.9683,0.0727,13
2PL,76,0.9694,0.0722,13
2PL,77,0.9693,0.0728,13
2PL,78,0.9685,0.0732,13
2PL,79,0.9697,0.0733,13
2PL,80,0.9697,0.0731,13
2PL,81,0.9698,0.0727,13
2PL,82,0.9704,0.0721,13
2PL,83,0.9701,0.0719,13
2PL,84,0.969,0.0717,13
2PL,85,0.9683,0.0712,13
2PL,86,0.9678,0.0701,13
2PL,87,0.9685,0.0701,13
2PL,88,0.968,0.0707,13
2PL,89,0.9692,0.0706,13
2PL,90,0.9678,0.0704,13
2PL,91,0.9696,0.0708,13
2PL,92,0.9683,0.0705,13
2PL,93,0.9681,0.0708,13
2PL,94,0.9689,0.0704,13
2PL,95,0.9689,0.0699,13
2PL,96,0.9689,0.0701,13
2PL,97,0.9679,0.07,13
2PL,98,0.9677,0.0703,13
2PL,99,0.9682,0.0702,13
2PL,100,0.9689,0.0706,13
2PL,101,0.9693,0.071,13
2PL,102,0.9689,0.0711,13
2PL,103,0.9685,0.0707,13
2PL,104,0.9679,0.0704,13
2PL,105,0.9682,0.0704,13
2PL,106,0.9685,0.0706,13
2PL,107,0.9685,0.0703,13
2PL,108,0.9684,0.0702,13
2PL,109,0.9673,0.07,13
2PL,110,0.9674,0.0702,13
2PL,111,0.9685,0.0702,13
2PL,112,0.968,0.0702,13
2PL,113,0.9681,0.0699,13
2PL,114,0.9682,0.0702,13
2PL,115,0.9683,0.0703,13
2PL,116,0.9684,0.0705,13
2PL,117,0.9678,0.0705,13
2PL,118,0.9681,0.0705,13
2PL,119,0.9671,0.0703,13
2PL,120,0.9677,0.0701,13
2PL,121,0.9681,0.0701,13
2PL,122,0.9667,0.07,13
2PL,123,0.9673,0.0697,13
2PL,124,0.9677,0.0699,13
2PL,125,0.9686,0.0703,13
2PL,126,0.9694,0.0704,13
2PL,127,0.9693,0.0703,13
2PL,128,0.9694,0.0705,13
2PL,129,0.9697,0.07,13
2PL,130,0.9695,0.0698,13
2PL,131,0.9691,0.0698,13
2PL,132,0.9699,0.0699,13
2PL,133,0.9706,0.0698,13
2PL,134,0.9707,0.07,13
2PL,135,0.9718,0.0697,13
2PL,136,0.9712,0.0694,13
2PL,137,0.9715,0.0692,13
2PL,138,0.9725,0.0691,13
2PL,139,0.9728,0.0691,13
2PL,140,0.9726,0.0688,13
2PL,141,0.9731,0.0691,13
2PL,142,0.973,0.0694,13
2PL,143,0.9728,0.0695,13
2PL,144,0.9731,0.069,13
2PL,145,0.9729,0.0689,13
2PL,146,0.9736,0.0687,13
2PL,147,0.9741,0.0688,13
2PL,148,0.9746,0.0684,13
2PL,149,0.9739,0.0685,13
2PL,150,0.974,0.0687,13
2PL,151,0.9743,0.0686,13
2PL,152,0.974,0.0687,13
2PL,153,0.9739,0.0688,13
2PL,154,0.9743,0.0686,13
2PL,155,0.9748,0.0689,13
2PL,156,0.9749,0.0689,13
2PL,157,0.9748,0.0692,13
2PL,158,0.9759,0.0691,13
2PL,159,0.9759,0.069,13
2PL,160,0.9759,0.0685,13
2PL,161,0.9761,0.0687,13
2PL,162,0.9757,0.0687,13
2PL,163,0.9753,0.0688,13
2PL,164,0.9751,0.0687,13
2PL,165,0.9753,0.069,13
2PL,166,0.9757,0.0689,13
2PL,167,0.9755,0.0689,13
2PL,168,0.9756,0.0692,13
2PL,169,0.9757,0.0692,13
2PL,170,0.976,0.069,13
2PL,171,0.9755,0.069,13
2PL,172,0.9755,0.0687,13
2PL,173,0.9756,0.0688,13
2PL,174,0.9764,0.0692,13
2PL,175,0.9767,0.0693,13
2PL,176,0.9766,0.0695,13
2PL,177,0.9768,0.0696,13
2PL,178,0.9771,0.0696,13
2PL,179,0.9771,0.0699,13
2PL,180,0.9768,0.0703,13
2PL,181,0.9765,0.0706,13
2PL,182,0.9766,0.0708,13
2PL,183,0.9763,0.0706,13
2PL,184,0.9762,0.0706,13
2PL,185,0.9757,0.0706,13
2PL,186,0.9764,0.0706,13
2PL,187,0.9767,0.0707,13
2PL,188,0.9769,0.0702,13
2PL,189,0.9772,0.0702,13
2PL,190,0.9772,0.0704,13
2PL,191,0.9775,0.0704,13
2PL,192,0.9775,0.0704,13
2PL,193,0.9768,0.0701,13
2PL,194,0.9769,0.0702,13
2PL,195,0.9768,0.0703,13
2PL,196,0.9765,0.0704,13
2PL,197,0.9766,0.0705,13
2PL,198,0.9765,0.0706,13
2PL,199,0.9765,0.0706,13
2PL,200,0.9763,0.0706,13
2PL,201,0.9764,0.0707,13
2PL,202,0.9762,0.0707,13
2PL,203,0.9758,0.0704,13
2PL,204,0.9757,0.0704,13
2PL,205,0.976,0.0702,13
2PL,206,0.9763,0.0703,13
2PL,207,0.976,0.0702,13
2PL,208,0.976,0.0701,13
2PL,209,0.976,0.0702,13
2PL,210,0.9757,0.0701,13
2PL,211,0.9758,0.0701,13
2PL,212,0.9758,0.0698,13
2PL,213,0.9763,0.0699,13
2PL,214,0.9762,0.0702,13
2PL,215,0.9758,0.0703,13
2PL,216,0.9763,0.0703,13
2PL,217,0.9767,0.0701,13
2PL,218,0.9768,0.0701,13
2PL,219,0.9763,0.0701,13
2PL,220,0.9766,0.0699,13
2PL,221,0.976,0.0698,13
2PL,222,0.9759,0.0698,13
2PL,223,0.9759,0.07,13
2PL,224,0.9756,0.0701,13
2PL,225,0.9756,0.0703,13
2PL,226,0.9752,0.0702,13
2PL,227,0.9748,0.0699,13
2PL,228,0.9749,0.0699,13
2PL,229,0.9749,0.07,13
2PL,230,0.9749,0.0699,13
2PL,231,0.9744,0.0699,13
2PL,232,0.9747,0.07,13
2PL,233,0.9746,0.0703,13
2PL,234,0.9749,0.0702,13
2PL,235,0.9748,0.0701,13
2PL,236,0.9755,0.0703,13
2PL,237,0.9756,0.0702,13
2PL,238,0.9757,0.0703,13
2PL,239,0.9758,0.0702,13
2PL,240,0.9757,0.0703,13
2PL,241,0.9756,0.0703,13
2PL,242,0.976,0.0703,13
2PL,243,0.9761,0.0702,13
2PL,244,0.977,0.0702,13
2PL,245,0.9761,0.07,13
2PL,246,0.9764,0.0703,13
2PL,247,0.9763,0.0702,13
2PL,248,0.9764,0.0703,13
2PL,249,0.977,0.0702,13
2PL,250,0.9768,0.0702,13
2PL,251,0.9768,0.0703,13
2PL,252,0.9766,0.0703,13
2PL,253,0.9767,0.0702,13
2PL,254,0.9765,0.0702,13
2PL,255,0.9769,0.07,13
2PL,256,0.977,0.0702,13
2PL,257,0.9767,0.0702,13
2PL,258,0.9766,0.0705,13
2PL,259,0.9766,0.0706,13
2PL,260,0.9767,0.0706,13
2PL,261,0.9772,0.0706,13
2PL,262,0.9777,0.0709,13
2PL,263,0.9784,0.0712,13
2PL,264,0.9784,0.0713,13
2PL,265,0.9785,0.0712,13
2PL,266,0.9787,0.0713,13
2PL,267,0.9787,0.0715,13
2PL,268,0.9787,0.0716,13
2PL,269,0.9791,0.0714,13
2PL,270,0.979,0.0714,13
2PL,271,0.9791,0.0714,13
2PL,272,0.9789,0.0714,13
2PL,273,0.9791,0.0713,13
2PL,274,0.98,0.0711,13
2PL,275,0.9799,0.0712,13
2PL,276,0.9797,0.071,13
2PL,277,0.9797,0.0709,13
2PL,278,0.9795,0.0707,13
2PL,279,0.9797,0.0708,13
2PL,280,0.9796,0.0709,13
2PL,281,0.9797,0.071,13
2PL,282,0.9796,0.0711,13
2PL,283,0.9793,0.071,13
2PL,284,0.9791,0.0708,13
2PL,285,0.9791,0.0708,13
2PL,286,0.979,0.0708,13
2PL,287,0.9792,0.0707,13
2PL,288,0.9792,0.0708,13
2PL,289,0.9796,0.0705,13
2PL,290,0.9794,0.0704,13
2PL,291,0.9795,0.0703,13
2PL,292,0.9797,0.0703,13
2PL,293,0.9798,0.0702,13
2PL,294,0.9798,0.0701,13
2PL,295,0.9798,0.0702,13
2PL,296,0.9801,0.0701,13
2PL,297,0.9801,0.0701,13
2PL,298,0.9803,0.0701,13
2PL,299,0.9802,0.0699,13
2PL,300,0.9803,0.07,13
2PL,301,0.9803,0.07,13
2PL,302,0.9804,0.07,13
2PL,303,0.9806,0.07,13
2PL,304,0.9803,0.0701,13
2PL,305,0.9797,0.0703,13
2PL,306,0.9801,0.0704,13
2PL,307,0.98,0.0705,13
2PL,308,0.9801,0.0705,13
2PL,309,0.9803,0.0705,13
2PL,310,0.9804,0.0706,13
2PL,311,0.9806,0.0706,13
2PL,312,0.9804,0.0703,13
2PL,313,0.9805,0.0703,13
2PL,314,0.9805,0.0703,13
2PL,315,0.9804,0.0703,13
2PL,316,0.9807,0.0703,13
2PL,317,0.9808,0.0703,13
2PL,318,0.9807,0.0703,13
2PL,319,0.9809,0.0704,13
2PL,320,0.9813,0.0704,13
2PL,321,0.9813,0.0704,13
2PL,322,0.9814,0.0704,13
2PL,323,0.9813,0.0705,13
2PL,324,0.9814,0.0704,13
2PL,325,0.9813,0.0703,13
2PL,326,0.9815,0.0702,13
2PL,327,0.9821,0.0699,13
2PL,328,0.9823,0.07,13
2PL,329,0.9824,0.0699,13
2PL,330,0.9824,0.0699,13
2PL,331,0.9827,0.0696,13
2PL,332,0.9827,0.0697,13
2PL,333,0.9827,0.0696,13
2PL,334,0.9826,0.0697,13
2PL,335,0.9827,0.0696,13
2PL,336,0.9831,0.0693,13
2PL,337,0.983,0.0692,13
2PL,338,0.9829,0.0693,13
2PL,339,0.9831,0.0693,13
2PL,340,0.9832,0.0696,13
2PL,341,0.9828,0.0697,13
2PL,342,0.9828,0.0697,13
2PL,343,0.983,0.0697,13
2PL,344,0.9828,0.0696,13
2PL,345,0.9827,0.0696,13
2PL,346,0.9825,0.0697,13
2PL,347,0.9825,0.0698,13
2PL,348,0.9825,0.0698,13
2PL,349,0.9827,0.0699,13
2PL,350,0.9828,0.0701,13
2PL,351,0.9829,0.07,13
2PL,352,0.9829,0.07,13
2PL,353,0.9828,0.0699,13
2PL,354,0.983,0.0699,13
2PL,355,0.9829,0.0701,13
2PL,356,0.983,0.07,13
2PL,357,0.9833,0.0701,13
2PL,358,0.9831,0.0699,13
2PL,359,0.9833,0.07,13
2PL,360,0.9832,0.0701,13
2PL,361,0.9833,0.0701,13
2PL,362,0.9834,0.07,13
2PL,363,0.9834,0.0699,13
2PL,364,0.9833,0.0699,13
2PL,365,0.9832,0.07,13
2PL,366,0.9832,0.07,13
2PL,367,0.9834,0.0701,13
2PL,368,0.9833,0.0701,13
2PL,369,0.9835,0.0701,13
2PL,370,0.9837,0.07,13
2PL,371,0.9836,0.0702,13
2PL,372,0.9836,0.0701,13
2PL,373,0.9837,0.0699,13
2PL,374,0.9838,0.0699,13
2PL,375,0.984,0.0698,13
2PL,376,0.984,0.0699,13
2PL,377,0.9843,0.07,13
2PL,378,0.9843,0.0701,13
2PL,379,0.9842,0.0701,13
2PL,380,0.9844,0.07,13
2PL,381,0.9843,0.0699,13
2PL,382,0.9837,0.0701,13
2PL,383,0.9834,0.0703,13
2PL,384,0.9833,0.0704,13
2PL,385,0.9834,0.0703,13
2PL,386,0.9834,0.0704,13
2PL,387,0.983,0.0706,13
2PL,388,0.983,0.0706,13
2PL,389,0.9831,0.0706,13
2PL,390,0.983,0.0706,13
2PL,391,0.9826,0.0706,13
2PL,392,0.9828,0.0707,13
2PL,393,0.9829,0.0707,13
2PL,394,0.983,0.0708,13
2PL,395,0.9832,0.0708,13
2PL,396,0.9831,0.0709,13
2PL,397,0.9831,0.0707,13
2PL,398,0.9834,0.0709,13
2PL,399,0.9835,0.0708,13
2PL,400,0.9834,0.0709,13
2PL,401,0.9833,0.0709,13
2PL,402,0.9834,0.0708,13
2PL,403,0.9837,0.071,13
2PL,404,0.9839,0.0712,13
2PL,405,0.9839,0.0712,13
2PL,406,0.9838,0.0714,13
2PL,407,0.9838,0.0714,13
2PL,408,0.9838,0.0714,13
2PL,409,0.9838,0.0714,13
2PL,410,0.9839,0.0713,13
2PL,411,0.9837,0.0713,13
2PL,412,0.9836,0.0714,13
2PL,413,0.9836,0.0714,13
2PL,414,0.9837,0.0714,13
2PL,415,0.9837,0.0715,13
2PL,416,0.9837,0.0717,13
2PL,417,0.9835,0.0716,13
2PL,418,0.9835,0.0717,13
2PL,419,0.9833,0.0718,13
2PL,420,0.9832,0.0718,13
2PL,421,0.9834,0.0718,13
2PL,422,0.9835,0.0717,13
2PL,423,0.9833,0.0716,13
2PL,424,0.9834,0.0716,13
2PL,425,0.9833,0.0716,13
2PL,426,0.9832,0.0716,13
2PL,427,0.9832,0.0716,13
2PL,428,0.9831,0.0717,13
2PL,429,0.9831,0.0717,13
2PL,430,0.9834,0.0719,13
2PL,431,0.9833,0.0719,13
2PL,432,0.9833,0.0719,13
2PL,433,0.9834,0.0719,13
2PL,434,0.9832,0.072,13
2PL,435,0.9832,0.072,13
2PL,436,0.9835,0.072,13
2PL,437,0.9841,0.072,13
2PL,438,0.984,0.072,13
2PL,439,0.9845,0.0719,13
2PL,440,0.9845,0.072,13
2PL,441,0.9845,0.0721,13
2PL,442,0.9844,0.0721,13
2PL,443,0.9844,0.0724,13
2PL,444,0.9844,0.0723,13
2PL,445,0.9844,0.0724,13
2PL,446,0.9844,0.0724,13
2PL,447,0.9843,0.0725,13
2PL,448,0.9843,0.0725,13
2PL,449,0.9843,0.0727,13
2PL,450,0.9846,0.0728,13
2PL,451,0.9846,0.0727,13
2PL,452,0.9847,0.0727,13
2PL,453,0.9849,0.0724,13
2PL,454,0.985,0.0725,13
2PL,455,0.985,0.0726,13
2PL,456,0.9851,0.0725,13
2PL,457,0.9851,0.0725,13
2PL,458,0.9851,0.0726,13
2PL,459,0.9852,0.0727,13
2PL,460,0.9853,0.0726,13
2PL,461,0.9852,0.0726,13
2PL,462,0.9851,0.0726,13
2PL,463,0.985,0.0726,13
2PL,464,0.9851,0.0727,13
2PL,465,0.9851,0.0727,13
2PL,466,0.985,0.0728,13
2PL,467,0.9848,0.0728,13
2PL,468,0.9848,0.0729,13
2PL,469,0.985,0.073,13
2PL,470,0.985,0.073,13
2PL,471,0.9851,0.073,13
2PL,472,0.985,0.073,13
2PL,473,0.985,0.0731,13
2PL,474,0.985,0.0731,13
2PL,475,0.985,0.073,13
2PL,476,0.985,0.073,13
2PL,477,0.9849,0.073,13
2PL,478,0.985,0.073,13
2PL,479,0.985,0.0729,13
2PL,480,0.9849,0.073,13
2PL,481,0.9849,0.0729,13
2PL,482,0.9849,0.0729,13
2PL,483,0.9849,0.0729,13
2PL,484,0.9849,0.0728,13
2PL,485,0.9849,0.0728,13
2PL,486,0.9849,0.0729,13
2PL,487,0.9849,0.0728,13
2PL,488,0.9851,0.0729,13
2PL,489,0.985,0.0728,13
2PL,490,0.9851,0.0727,13
2PL,491,0.9851,0.0728,13
2PL,492,0.985,0.0728,13
2PL,493,0.9851,0.0728,13
2PL,494,0.9852,0.0728,13
2PL,495,0.9851,0.0727,13
2PL,496,0.9852,0.0727,13
2PL,497,0.9853,0.0727,13
2PL,498,0.9853,0.0727,13
2PL,499,0.9852,0.0727,13
2PL,500,0.9853,0.0727,13
2PL,501,0.9853,0.0727,13
2PL,502,0.9854,0.0727,13
2PL,503,0.9856,0.0726,13
2PL,504,0.9856,0.0726,13
2PL,505,0.9856,0.0726,13
2PL,506,0.9856,0.0726,13
2PL,507,0.9857,0.0727,13
2PL,508,0.9857,0.0727,13
2PL,509,0.9857,0.0728,13
2PL,510,0.9857,0.0728,13
2PL,511,0.9857,0.0728,13
2PL,512,0.9858,0.0728,13
2PL,513,0.9859,0.0728,13
2PL,514,0.986,0.0728,13
2PL,515,0.9861,0.0727,13
2PL,516,0.9861,0.0727,13
2PL,517,0.986,0.0727,13
2PL,518,0.9861,0.0727,13
2PL,519,0.986,0.0727,13
2PL,520,0.9859,0.0727,13
2PL,521,0.9859,0.0727,13
2PL,522,0.9858,0.0726,13
2PL,523,0.986,0.0726,13
2PL,524,0.9861,0.0725,13
2PL,525,0.986,0.0725,13
2PL,526,0.9861,0.0725,13
2PL,527,0.9861,0.0726,13
2PL,528,0.9861,0.0726,13
2PL,529,0.9861,0.0724,13
2PL,530,0.9862,0.0722,13
2PL,531,0.9862,0.0722,13
2PL,532,0.986,0.0723,13
2PL,533,0.9861,0.0722,13
2PL,534,0.986,0.0723,13
2PL,535,0.9861,0.0723,13
2PL,536,0.9861,0.0723,13
2PL,537,0.9862,0.0723,13
2PL,538,0.9861,0.0723,13
2PL,539,0.9861,0.0723,13
2PL,540,0.9861,0.0723,13
2PL,541,0.986,0.0723,13
2PL,542,0.9861,0.0723,13
2PL,543,0.9862,0.0723,13
2PL,544,0.9863,0.0723,13
2PL,545,0.9863,0.0723,13
2PL,546,0.9864,0.0723,13
2PL,547,0.9863,0.0722,13
2PL,548,0.9863,0.0723,13
2PL,549,0.9864,0.0723,13
2PL,550,0.9869,0.0721,13
2PL,551,0.987,0.0721,13
2PL,552,0.987,0.0721,13
2PL,553,0.987,0.0721,13
2PL,554,0.987,0.0721,13
2PL,555,0.9871,0.0721,13
2PL,556,0.9871,0.0721,13
2PL,557,0.9871,0.0721,13
2PL,558,0.9872,0.0721,13
2PL,559,0.9874,0.0721,13
2PL,560,0.9874,0.0721,13
2PL,561,0.9874,0.0721,13
2PL,562,0.9874,0.0722,13
2PL,563,0.9874,0.0722,13
2PL,564,0.9874,0.0722,13
2PL,565,0.9874,0.0722,13
2PL,566,0.9874,0.0721,13
2PL,567,0.9875,0.0721,13
2PL,568,0.9875,0.0721,13
2PL,569,0.9875,0.072,13
2PL,570,0.9875,0.0717,13
2PL,571,0.9877,0.0718,13
2PL,572,0.9877,0.0718,13
2PL,573,0.9877,0.0718,13
2PL,574,0.9876,0.0717,13
2PL,575,0.9876,0.0717,13
2PL,576,0.9876,0.0717,13
2PL,577,0.9877,0.0717,13
2PL,578,0.9878,0.0717,13
2PL,579,0.9878,0.0717,13
2PL,580,0.9878,0.0717,13
2PL,581,0.9878,0.0717,13
2PL,582,0.9879,0.0716,13
2PL,583,0.988,0.0716,13
2PL,584,0.9879,0.0716,13
2PL,585,0.9879,0.0716,13
2PL,586,0.9879,0.0716,13
2PL,587,0.988,0.0717,13
2PL,588,0.988,0.0717,13
2PL,589,0.9881,0.0716,13
2PL,590,0.9881,0.0716,13
2PL,591,0.9882,0.0716,13
2PL,592,0.9881,0.0717,13
2PL,593,0.9882,0.0717,13
2PL,594,0.9881,0.0717,13
2PL,595,0.9881,0.0717,13
2PL,596,0.9881,0.0717,13
2PL,597,0.9881,0.0717,13
2PL,598,0.9881,0.0717,13
2PL,599,0.9881,0.0718,13
2PL,600,0.9881,0.0717,13
2PL,601,0.9881,0.0717,13
2PL,602,0.9882,0.0717,13
2PL,603,0.9882,0.0717,13
2PL,604,0.9882,0.0717,13
2PL,605,0.9882,0.0717,13
2PL,606,0.9882,0.0717,13
2PL,607,0.9882,0.0717,13
2PL,608,0.9882,0.0717,13
2PL,609,0.9882,0.0717,13
2PL,610,0.9882,0.0716,13
2PL,611,0.9882,0.0716,13
2PL,612,0.9881,0.0717,13
2PL,613,0.9882,0.0716,13
2PL,614,0.9881,0.0716,13
2PL,615,0.9881,0.0716,13
2PL,616,0.9881,0.0717,13
2PL,617,0.9881,0.0716,13
2PL,618,0.9881,0.0716,13
2PL,619,0.9881,0.0716,13
2PL,620,0.9881,0.0715,13
2PL,621,0.988,0.0716,13
2PL,622,0.988,0.0716,13
2PL,623,0.9881,0.0716,13
2PL,624,0.9881,0.0716,13
2PL,625,0.9882,0.0715,13
2PL,626,0.9882,0.0715,13
2PL,627,0.9882,0.0715,13
2PL,628,0.9883,0.0716,13
2PL,629,0.9883,0.0716,13
2PL,630,0.9883,0.0716,13
2PL,631,0.9884,0.0716,13
2PL,632,0.9884,0.0716,13
2PL,633,0.9885,0.0716,13
2PL,634,0.9885,0.0716,13
2PL,635,0.9885,0.0716,13
2PL,636,0.9885,0.0716,13
2PL,637,0.9885,0.0716,13
2PL,638,0.9887,0.0716,13
2PL,639,0.9889,0.0716,13
2PL,640,0.9889,0.0716,13
2PL,641,0.9888,0.0716,13
2PL,642,0.9888,0.0716,13
2PL,643,0.9887,0.0716,13
2PL,644,0.9887,0.0717,13
2PL,645,0.9888,0.0717,13
2PL,646,0.9888,0.0716,13
2PL,647,0.9888,0.0716,13
2PL,648,0.9888,0.0716,13
2PL,649,0.9889,0.0716,13
2PL,650,0.9889,0.0716,13
2PL,651,0.9889,0.0716,13
2PL,652,0.9888,0.0716,13
2PL,653,0.9888,0.0716,13
2PL,654,0.9888,0.0716,13
2PL,655,0.9888,0.0717,13
2PL,656,0.9889,0.0717,13
2PL,657,0.9889,0.0717,13
2PL,658,0.9889,0.0717,13
2PL,659,0.989,0.0718,13
2PL,660,0.9889,0.0718,13
2PL,661,0.9889,0.0718,13
2PL,662,0.9889,0.0718,13
2PL,663,0.989,0.0717,13
2PL,664,0.9889,0.0717,13
2PL,665,0.9889,0.0718,13
2PL,666,0.9889,0.0718,13
2PL,667,0.9889,0.0718,13
2PL,668,0.989,0.0717,13
2PL,669,0.989,0.0717,13
2PL,670,0.9889,0.0717,13
2PL,671,0.9889,0.0717,13
2PL,672,0.9889,0.0717,13
2PL,673,0.989,0.0717,13
2PL,674,0.989,0.0717,13
2PL,675,0.9891,0.0717,13
2PL,676,0.9891,0.0717,13
2PL,677,0.9891,0.0718,13
2PL,678,0.9891,0.0718,13
2PL,679,0.9891,0.0718,13
2PL,680,0.9891,0.0718,13
2PL,681,0.989,0.0717,13
2PL,682,0.989,0.0717,13
2PL,683,0.989,0.0717,13
2PL,684,0.989,0.0717,13
2PL,685,0.9891,0.0717,13
2PL,686,0.9891,0.0717,13
2PL,687,0.9891,0.0717,13
2PL,688,0.9891,0.0717,13
2PL,689,0.9892,0.0717,13
2PL,690,0.9892,0.0717,13
2PL,691,0.9892,0.0717,13
2PL,692,0.9892,0.0717,13
2PL,693,0.9892,0.0716,13
2PL,694,0.9892,0.0716,13
2PL,695,0.9892,0.0716,13
2PL,696,0.9893,0.0716,13
2PL,697,0.9893,0.0715,13
2PL,698,0.9893,0.0716,13
2PL,699,0.9894,0.0716,13
2PL,700,0.9894,0.0716,13
2PL,701,0.9895,0.0716,13
2PL,702,0.9895,0.0716,13
2PL,703,0.9895,0.0716,13
2PL,704,0.9895,0.0716,13
2PL,705,0.9895,0.0717,13
2PL,706,0.9895,0.0717,13
2PL,707,0.9896,0.0716,13
2PL,708,0.9895,0.0717,13
2PL,709,0.9895,0.0716,13
2PL,710,0.9895,0.0716,13
2PL,711,0.9895,0.0717,13
2PL,712,0.9895,0.0716,13
2PL,713,0.9895,0.0716,13
2PL,714,0.9895,0.0716,13
2PL,715,0.9895,0.0716,13
2PL,716,0.9895,0.0717,13
2PL,717,0.9895,0.0717,13
2PL,718,0.9895,0.0717,13
2PL,719,0.9896,0.0717,13
2PL,720,0.9896,0.0717,13
2PL,721,0.9896,0.0717,13
2PL,722,0.9896,0.0717,13
2PL,723,0.9895,0.0717,13
2PL,724,0.9896,0.0718,13
2PL,725,0.9896,0.0718,13
2PL,726,0.9896,0.0718,13
2PL,727,0.9897,0.0718,13
2PL,728,0.9896,0.0718,13
2PL,729,0.9896,0.0718,13
2PL,730,0.9896,0.0718,13
2PL,731,0.9896,0.0718,13
2PL,732,0.9896,0.0719,13
2PL,733,0.9896,0.0719,13
2PL,734,0.9896,0.0719,13
2PL,735,0.9896,0.0719,13
2PL,736,0.9896,0.0719,13
2PL,737,0.9896,0.0719,13
2PL,738,0.9896,0.0719,13
2PL,739,0.9896,0.0719,13
2PL,740,0.99,0.0716,13
2PL,741,0.9901,0.0716,13
2PL,742,0.9901,0.0716,13
2PL,743,0.9901,0.0716,13
2PL,744,0.9901,0.0716,13
2PL,745,0.9901,0.0716,13
2PL,746,0.9899,0.0717,13
2PL,747,0.9899,0.0717,13
2PL,748,0.9899,0.0717,13
2PL,749,0.9898,0.0717,13
2PL,750,0.9899,0.0717,13
2PL,751,0.9899,0.0717,13
2PL,752,0.9899,0.0717,13
2PL,753,0.9899,0.0717,13
2PL,754,0.9899,0.0717,13
2PL,755,0.9899,0.0717,13
2PL,756,0.9899,0.0717,13
2PL,757,0.9899,0.0717,13
2PL,758,0.9901,0.0713,13
2PL,759,0.9901,0.0713,13
3PL,8,0.8719,0.1317,13
3PL,9,0.8506,0.1366,13
3PL,10,0.8886,0.1346,13
3PL,11,0.9071,0.1341,13
3PL,12,0.9078,0.1379,13
3PL,13,0.9107,0.1406,13
3PL,14,0.9086,0.1425,13
3PL,15,0.9072,0.1408,13
3PL,16,0.9171,0.1397,13
3PL,17,0.9229,0.1408,13
3PL,18,0.9231,0.1419,13
3PL,19,0.9209,0.1421,13
3PL,20,0.9234,0.1414,13
3PL,21,0.92,0.1418,13
3PL,22,0.9183,0.1427,13
3PL,23,0.9191,0.1432,13
3PL,24,0.9256,0.1422,13
3PL,25,0.9251,0.142,13
3PL,26,0.9293,0.1415,13
3PL,27,0.9288,0.1413,13
3PL,28,0.9325,0.1414,13
3PL,29,0.9322,0.1412,13
3PL,30,0.9329,0.1406,13
3PL,31,0.9303,0.1408,13
3PL,32,0.9323,0.1411,13
3PL,33,0.9329,0.1408,13
3PL,34,0.9296,0.1408,13
3PL,35,0.9296,0.141,13
3PL,36,0.9292,0.1413,13
3PL,37,0.9303,0.1406,13
3PL,38,0.9307,0.1394,13
3PL,39,0.9326,0.1395,13
3PL,40,0.9342,0.1398,13
3PL,41,0.9347,0.1397,13
3PL,42,0.936,0.1394,13
3PL,43,0.9345,0.1397,13
3PL,44,0.9361,0.1396,13
3PL,45,0.9382,0.1396,13
3PL,46,0.9404,0.1394,13
3PL,47,0.9392,0.1399,13
3PL,48,0.9394,0.1407,13
3PL,49,0.942,0.141,13
3PL,50,0.9433,0.1412,13
3PL,51,0.9432,0.1403,13
3PL,52,0.9409,0.1382,13
3PL,53,0.942,0.1384,13
3PL,54,0.9409,0.1388,13
3PL,55,0.9405,0.1381,13
3PL,56,0.9401,0.1384,13
3PL,57,0.9418,0.1384,13
3PL,58,0.9436,0.1382,13
3PL,59,0.9431,0.1381,13
3PL,60,0.9423,0.1378,13
3PL,61,0.9423,0.1379,13
3PL,62,0.9422,0.1379,13
3PL,63,0.9427,0.1382,13
3PL,64,0.9428,0.1382,13
3PL,65,0.9425,0.1381,13
3PL,66,0.9414,0.1383,13
3PL,67,0.9428,0.1387,13
3PL,68,0.944,0.1387,13
3PL,69,0.9437,0.1391,13
