model,split
PowerInfer/SmallThinker-3B-Preview,train
Q-bert/MetaMath-1B,train
Quazim0t0/Heretic1.5b,train
Qwen/Qwen2-0.5B,train
Qwen/Qwen2.5-0.5B,train
Qwen/Qwen2.5-0.5B-Instruct,train
Qwen/Qwen2.5-1.5B,train
Qwen/Qwen2.5-1.5B-Instruct,train
Qwen/Qwen2.5-3B,train
Qwen/Qwen2.5-Math-1.5B-Instruct,train
Qwen/Qwen2.5-Math-7B-Instruct,train
RESMPDEV/EVA-Qwen2.5-1.5B-FRFR,train
RESMPDEV/Qwen2-Wukong-0.5B,train
Rakuten/RakutenAI-2.0-mini-instruct,train
RezVortex/JAJUKA-WEWILLNEVERFORGETYOU-3B,train
SaisExperiments/Evil-Alpaca-3B-L3.2,train
SaisExperiments/Gemma-2-2B-Opus-Instruct,train
SaisExperiments/Gemma-2-2B-Stheno-Filtered,train
SaisExperiments/RightSheep-Llama3.2-3B,train
Sakalti/Anemoi-3B,train
Sakalti/Llama3.2-3B-Uranus-1,train
Sakalti/Neptuno-3B,train
Sakalti/Neptuno-Alpha,train
Sakalti/Phi3.5-Comets-3.8B,train
Sakalti/Qwen2.5-1B-Instruct,train
Sakalti/QwenTest-7,train
Sakalti/SJT-0.5B,train
Sakalti/SJT-1.5B-Alpha,train
Sakalti/SJT-1.5B-Alpha-1.1,train
Sakalti/SJT-1.7B,train
Sakalti/SJT-2.4B,train
Sakalti/SJT-2B,train
Sakalti/SJT-2B-V1.1,train
Sakalti/SJT-3.7B,train
Sakalti/SJT-4B,train
Sakalti/SJT-900M,train
Sakalti/SJTPass-2,train
Sakalti/SJTPass-4,train
Sakalti/SJTPass-5,train
Sakalti/Saba-Passthrough-2,train
Sakalti/Saba1-1.8B,train
Sakalti/Saba1.5-1.5B,train
Sakalti/Saba1.5-Pro-3B,train
Sakalti/Saba2-3B,train
Sakalti/SakaMoe-3x1.6B-Instruct,train
Sakalti/Tara-3.8B-v1.1,train
Sakalti/light-1.1-3B,train
Sakalti/light-3B,train
Sakalti/light-3b-beta,train
Sakalti/qwen2.5-2.3B,train
Sharathhebbar24/SSH_355M,train
Shreyash2010/Uma-4x4B-Instruct-v0.1,train
Sicarius-Prototyping/Micropenis_1B,train
SicariusSicariiStuff/2B-ad,train
SicariusSicariiStuff/2B_or_not_2B,train
SicariusSicariiStuff/Eximius_Persona_5B,train
SicariusSicariiStuff/Impish_LLAMA_3B,train
SkyOrbis/SKY-Ko-Llama3.2-1B-lora-epoch3,train
SkyOrbis/SKY-Ko-Llama3.2-1B-lora-epoch5,train
SkyOrbis/SKY-Ko-Llama3.2-1B-lora-v2-epoch3,train
SkyOrbis/SKY-Ko-Llama3.2-1B-lora-v2-epoch5,train
SkyOrbis/SKY-Ko-Llama3.2-3B-lora-epoch1,train
SkyOrbis/SKY-Ko-Llama3.2-3B-lora-epoch2,train
SkyOrbis/SKY-Ko-Llama3.2-3B-lora-epoch3,train
SkyOrbis/SKY-Ko-Qwen2.5-3B-Instruct,train
Sourjayon/DeepSeek-R1-ForumNXT,train
SpaceYL/ECE_Poirot,train
Spestly/Athena-1-3B,train
Spestly/Atlas-Pro-1.5B-Preview,train
SultanR/SmolTulu-1.7b-Instruct,train
SultanR/SmolTulu-1.7b-it-v0,train
T145/KRONOS-8B-V7,train
T145/ZEUS-8B-V15,train
T145/ZEUS-8B-V2-ORPO,train
T145/qwen-2.5-3B-merge-test,train
TheDrummer/Gemmasutra-Mini-2B-v1,train
TinyLlama/TinyLlama-1.1B-Chat-v0.1,train
TinyLlama/TinyLlama-1.1B-Chat-v0.5,train
TinyLlama/TinyLlama-1.1B-Chat-v0.6,train
TinyLlama/TinyLlama-1.1B-Chat-v1.0,train
Triangle104/Dolphin3-Llama3.2-Smart,train
Triangle104/Hermes-Llama-3.2-CoT,train
Triangle104/Hermes-Llama-3.2-CoT-Summary,train
Triangle104/Minerva-1.5b,train
Triangle104/Minerva-1.5b_V0.2,train
Triangle104/Porpoise-R1-Llama3.2-3b,train
Triangle104/Q2.5-CodeR1-3B,train
Triangle104/Q2.5-R1-3B,train
Triangle104/RomboHermes3-R1-Llama3.2-3b,train
V3N0M/Jenna-Tiny-2.0,train
VAGOsolutions/SauerkrautLM-1.5b,train
VAGOsolutions/SauerkrautLM-Gemma-2b,train
VAGOsolutions/SauerkrautLM-gemma-2-2b-it,train
ValiantLabs/Llama3.2-3B-Enigma,train
ValiantLabs/Llama3.2-3B-Esper2,train
ValiantLabs/Llama3.2-3B-ShiningValiant2,train
Weyaxi/Einstein-v8-Llama3.2-1B,train
Wladastic/Mini-Think-Base-1B,train
Xiaojian9992024/Phi-4-mini-UNOFFICAL,train
Xiaojian9992024/Reflection-L3.2-JametMiniMix-3B,train
Yash21/TinyYi-7B-Test,train
Youlln/3PRYMMAL-PHI3-3B-SLERP,train
Youlln/ECE-PRYMMAL-0.5B-FT-V3,train
Youlln/ECE-PRYMMAL-0.5B-FT-V3-MUSR,train
Youlln/ECE-PRYMMAL-0.5B-FT-V4-MUSR,train
Youlln/ECE-PRYMMAL-0.5B-SLERP-V2,train
Youlln/ECE-PRYMMAL-0.5B-SLERP-V3,train
Youlln/ECE-PRYMMAL-YL-1B-SLERP-V1,train
Youlln/ECE-PRYMMAL-YL-1B-SLERP-V2,train
Youlln/ECE-PRYMMAL0.5-FT,train
Youlln/ECE-PRYMMAL0.5B-Youri,train
Youlln/ECE-PRYMMAL1B-FT-V1,train
Youlln/ECE-Qwen0.5B-FT-V2,train
Youlln/ECE.EIFFEIL.ia-0.5B-SLERP,train
agentlans/Llama-3.2-1B-Instruct-CrashCourse12K,train
agentlans/Qwen2.5-0.5B-Instruct-CrashCourse-dropout,train
ahmeda335/13_outOf_32_pruned_layers_llama3.1-8b,train
ai4bharat/Airavata,train
akhadangi/Llama3.2.1B.0.01-First,train
akhadangi/Llama3.2.1B.0.01-Last,train
akhadangi/Llama3.2.1B.0.1-First,train
akhadangi/Llama3.2.1B.BaseFiT,train
allenai/OLMo-7B-hf,train
allenai/OLMoE-1B-7B-0125-Instruct,train
allenai/OLMoE-1B-7B-0924,train
allenai/OLMoE-1B-7B-0924-Instruct,train
allknowingroger/Gemma2Slerp1-2.6B,train
allknowingroger/Gemma2Slerp2-2.6B,train
allknowingroger/Ph3unsloth-3B-slerp,train
allura-org/MoE-Girl-1BA-7BT,train
aloobun/d-SmolLM2-360M,train
apple/DCLM-7B,train
appvoid/arco-2,train
appvoid/arco-2-instruct,train
assskelad/smollm2-360M-sft_SmallThoughts,train
bamec66557/VICIOUS_MESH-12B-0.1v,train
bamec66557/VICIOUS_MESH-12B-0.X.ver,train
bamec66557/VICIOUS_MESH-12B-DELTA,train
bamec66557/VICIOUS_MESH-12B-DIGAMMA,train
bamec66557/VICIOUS_MESH-12B-EPSILON,train
bamec66557/VICIOUS_MESH-12B-UNION,train
bamec66557/VICIOUS_MESH-12B_Razor,train
bamec66557/mergekit-model_stock-zdaysvi,train
bamec66557/mergekit-ties-sinbkow,train
bfuzzy1/Gunny,train
bfuzzy1/acheron,train
bfuzzy1/acheron-c,train
bfuzzy1/acheron-d,train
bfuzzy1/acheron-m,train
bfuzzy1/acheron-m1a-llama,train
bhuvneshsaini/merged_model,train
bond005/meno-tiny-0.1,train
braindao/DeepSeek-R1-Distill-Qwen-1.5B-Blunt,train
braindao/DeepSeek-R1-Distill-Qwen-1.5B-Reflective,train
braindao/iq-code-evmind-0.5b,train
brgx53/3Bgeneral-ECE-PRYMMAL-Martial,train
brgx53/3Bgeneralv2-ECE-PRYMMAL-Martial,train
brgx53/3Blareneg-ECE-PRYMMAL-Martial,train
brgx53/Barracuda-PRYMMAL-ECE-TW3,train
brgx53/LaConfiance-PRYMMAL-ECE-TW3,train
bunnycore/DeepQwen-3B-LCoT-SCE,train
bunnycore/Gemma-2-2B-Smart,train
bunnycore/Llama-3.2-3B-All-Mix,train
bunnycore/Llama-3.2-3B-Bespoke-Thought,train
bunnycore/Llama-3.2-3B-Booval,train
bunnycore/Llama-3.2-3B-Deep-Test,train
bunnycore/Llama-3.2-3B-Long-Think,train
bunnycore/Llama-3.2-3B-Mix-Skill,train
bunnycore/Llama-3.2-3B-ProdigyPlus,train
bunnycore/Llama-3.2-3B-ProdigyPlusPlus,train
bunnycore/Llama-3.2-3B-RP-DeepThink,train
bunnycore/Llama-3.2-3B-RRStock,train
bunnycore/Llama-3.2-3B-ToxicKod,train
bunnycore/Llama-3.2-3b-RP-Toxic-Fuse,train
bunnycore/Phi-3.5-mini-TitanFusion-0.1,train
bunnycore/QwQen-3B-LCoT-R1,train
bunnycore/Qwen2.5-1.5B-Model-Stock,train
bunnycore/Qwen2.5-3B-Model-Stock,train
bunnycore/Qwen2.5-3B-Model-Stock-v2,train
bunnycore/Qwen2.5-3B-Model-Stock-v3.1,train
bunnycore/Qwen2.5-3B-Model-Stock-v3.2,train
bunnycore/Qwen2.5-3B-RP-Mix,train
bunnycore/Qwen2.5-3B-RP-Thinker,train
bunnycore/Qwen2.5-3B-RP-Thinker-V2,train
bunnycore/SmolLM2-1.7-Persona,train
bunnycore/SmolLM2-1.7B-roleplay-lora,train
cckm/tinymistral_950m,train
cognitivecomputations/Dolphin3.0-Llama3.2-1B,train
cognitivecomputations/dolphin-2.9.4-gemma2-2b,train
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,train
divyanshukunwar/SASTRI_1_9B,train
djuna-test-lab/TEST-L3.2-ReWish-3B,train
djuna-test-lab/TEST-L3.2-ReWish-3B-ties-w-base,train
duyhv1411/Llama-3.2-1B-en-vi,train
duyhv1411/Llama-3.2-3B-en-vi,train
dwikitheduck/gemma-2-2b-id,train
ehristoforu/SoRu-0009,train
ehristoforu/coolqwen-3b-it,train
ehristoforu/fd-lora-merged-16x32,train
ehristoforu/fd-lora-merged-64x128,train
ehristoforu/qwen2.5-with-lora-think-3b-it,train
ehristoforu/rufalcon3-3b-it,train
ehristoforu/ruphi-4b,train
ell44ot/gemma-2b-def,train
euclaise/ReMask-3B,train
ewre324/Thinker-Llama-3.2-3B-Instruct-Reasoning,train
fblgit/miniclaus-qw1.5B-UNAMGS,train
fblgit/miniclaus-qw1.5B-UNAMGS-GRPO,train
fblgit/pancho-v1-qw25-3B-UNAMGS,train
frameai/Loxa-4B,train
gabrielmbmb/SmolLM-1.7B-Instruct-IFEval,train
godlikehhd/alpaca_data_full_2,train
godlikehhd/alpaca_data_full_3B,train
godlikehhd/alpaca_data_ifd_max_2600,train
godlikehhd/alpaca_data_ifd_max_2600_3B,train
godlikehhd/alpaca_data_ifd_me_max_5200,train
godlikehhd/alpaca_data_ins_ans_max_5200,train
godlikehhd/alpaca_data_ins_max_5200,train
godlikehhd/alpaca_data_ins_min_2600,train
godlikehhd/alpaca_data_ins_min_5200,train
godlikehhd/alpaca_data_sampled_ifd_5200,train
godlikehhd/alpaca_data_sampled_ifd_new_5200,train
godlikehhd/alpaca_data_score_max_0.1_2600,train
godlikehhd/alpaca_data_score_max_0.7_2600,train
godlikehhd/alpaca_data_score_max_2600_3B,train
godlikehhd/alpaca_data_score_max_5200,train
godlikehhd/ifd_2500_qwen,train
godlikehhd/ifd_new_correct_all_sample_2500_qwen,train
godlikehhd/ifd_new_correct_sample_2500_qwen,train
godlikehhd/ifd_new_qwen_2500,train
godlikehhd/qwen-2.5-1.5b-cherry,train
godlikehhd/qwen_2.5-1.5b-cherry_new,train
godlikehhd/qwen_full_data_alpaca,train
godlikehhd/qwen_ins_ans_2500,train
google/codegemma-1.1-2b,train
google/flan-t5-large,train
google/flan-t5-xl,train
google/gemma-2-2b,train
google/gemma-2-2b-it,train
google/gemma-2-2b-jpn-it,train
google/mt5-base,train
google/mt5-xl,train
google/recurrentgemma-2b,train
google/recurrentgemma-2b-it,train
google/switch-base-8,train
goulue5/merging_LLM,train
gupta-tanish/llama-7b-dpo-baseline,train
h2oai/h2o-danube-1.8b-chat,train
h2oai/h2o-danube3-4b-base,train
h2oai/h2o-danube3-4b-chat,train
h2oai/h2o-danube3-500m-chat,train
h2oai/h2o-danube3.1-4b-chat,train
hatemmahmoud/qwen2.5-1.5b-sft-raft-grpo-hra-doc,train
hon9kon9ize/CantoneseLLMChat-v0.5,train
hotmailuser/Deepseek-qwen-modelstock-2B,train
hotmailuser/FalconSlerp-3B,train
hotmailuser/QwenModelStock-1.8B,train
hotmailuser/QwenSlerp-3B,train
hotmailuser/QwenStock-0.5B,train
hotmailuser/QwenStock-1.7B,train
huggyllama/llama-7b,train
huu-ontocord/wide_3b_orpo_stage1.1-ss1-orpo3,train
iFaz/llama32_1B_en_emo_v1,train
iFaz/llama32_3B_en_emo_1000_stp,train
iFaz/llama32_3B_en_emo_2000_stp,train
iFaz/llama32_3B_en_emo_300_stp,train
iFaz/llama32_3B_en_emo_5000_stp,train
iFaz/llama32_3B_en_emo_v2,train
iFaz/llama32_3B_en_emo_v3,train
ibm-granite/granite-3.0-1b-a400m-base,train
ibm-granite/granite-3.0-1b-a400m-instruct,train
ibm-granite/granite-3.0-2b-base,train
ibm-granite/granite-3.0-2b-instruct,train
ibm-granite/granite-3.0-3b-a800m-base,train
ibm-granite/granite-3.0-3b-a800m-instruct,train
ibm-granite/granite-3.1-1b-a400m-base,train
ibm-granite/granite-3.1-1b-a400m-instruct,train
ibm-granite/granite-3.1-2b-instruct,train
ibm-granite/granite-3.1-3b-a800m-base,train
ibm-granite/granite-3.1-3b-a800m-instruct,train
ibm-granite/granite-3.2-2b-instruct,train
ibm-granite/granite-7b-instruct,train
ibm/PowerLM-3b,train
insightfactory/Llama-3.2-3B-Instruct-unsloth-bnb-4bitlora_model,train
instruction-pretrain/InstructLM-500M,train
internlm/internlm2_5-1_8b-chat,train
inumulaisk/eval_model,train
jaredjoss/pythia-410m-roberta-lr_8e7-kl_01-steps_12000-rlhf-model,train
jaspionjader/test-10,train
jaspionjader/test-12,train
jaspionjader/test-13,train
jaspionjader/test-14,train
jaspionjader/test-15,train
jaspionjader/test-16,train
jaspionjader/test-17,train
jayasuryajsk/Qwen2.5-3B-reasoner,train
jebish7/Nemotron-4-Mini-Hindi-4B-Base,train
jebish7/Nemotron-4-Mini-Hindi-4B-Instruct,train
jebish7/Nemotron-Mini-4B-Instruct,train
jebish7/gemma-2-2b-it,train
jebish7/qwen2.5-0.5B-IHA-Hin,train
jeffmeloy/Qwen2.5-7B-minperplexity-2,train
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v1.3,train
jlzhou/Qwen2.5-3B-Infinity-Instruct-0625,train
jpacifico/Chocolatine-3B-Instruct-DPO-Revised,train
jpacifico/Chocolatine-3B-Instruct-DPO-v1.0,train
jpacifico/Chocolatine-3B-Instruct-DPO-v1.2,train
jpacifico/Distilucie-7B-Math-Instruct-DPO-v0.1,train
jpacifico/Lucie-7B-Instruct-DPO-v1.1,train
jpacifico/Lucie-7B-Instruct-DPO-v1.1.3,train
jpacifico/Lucie-7B-Instruct-Merged-Model_Stock-v1.0,train
jpacifico/Lucie-7B-Instruct-Merged-Model_Stock-v1.1,train
jpacifico/Lucie-Boosted-7B-Instruct,train
kavonalds/BunderMaxx-0710,train
kavonalds/BunderMaxx-1010,train
kavonalds/Lancer-1-1b-Instruct,train
keeeeenw/MicroLlama,train
kms7530/chemeng_phi-3-mini-4k-instruct-bnb-4bit_16_4_100_1_nonmath,train
kyutai/helium-1-preview-2b,train
kz919/QwQ-0.5B-Distilled-SFT,train
laislemke/LLaMA-2-vicuna-7b-slerp,train
lalainy/ECE-PRYMMAL-0.5B-SLERP-V4,train
lalainy/ECE-PRYMMAL-YL-0.5B-SLERP-BIS-V1,train
lalainy/ECE-PRYMMAL-YL-1B-SLERP-V3,train
lalainy/ECE-PRYMMAL-YL-1B-SLERP-V4,train
lalainy/ECE-PRYMMAL-YL-6B-SLERP-V1,train
lalainy/ECE-PRYMMAL-YL-6B-SLERP-V2,train
lesubra/ECE-EIFFEL-3B,train
lesubra/ECE-EIFFEL-3Bv2,train
lesubra/ECE-EIFFEL-3Bv3,train
lesubra/ECE-PRYMMAL-3B-SLERP-V1,train
lesubra/ECE-PRYMMAL-3B-SLERP-V2,train
lesubra/ECE-PRYMMAL-3B-SLERP_2-V1,train
lesubra/ECE-PRYMMAL-3B-SLERP_2-V2,train
lesubra/merge-test,train
llnYou/ECE-PRYMMAL-YL-1B-SLERP-V5,train
llnYou/ECE-PRYMMAL-YL-1B-SLERP-V6,train
llnYou/ECE-PRYMMAL-YL-3B-SLERP-V1,train
llnYou/ECE-PRYMMAL-YL-3B-SLERP-V2,train
llnYou/ECE-PRYMMAL-YL-3B-SLERP-V3,train
lmsys/vicuna-7b-v1.3,train
lt-asset/nova-1.3b,train
lunahr/thea-3b-50r-u1,train
lunahr/thea-v2-3b-50r,train
macadeliccc/magistrate-3.2-3b-it,train
magnifi/Phi3_intent_v56_3_w_unknown_5_lr_0.002,train
matouLeLoup/ECE-PRYMMAL-0.5B-FT-EnhancedMUSREnsembleV3,train
matouLeLoup/ECE-PRYMMAL-0.5B-FT-MUSR-ENSEMBLE-V2Mathis,train
matouLeLoup/ECE-PRYMMAL-0.5B-FT-V4-MUSR-ENSEMBLE-Mathis,train
matouLeLoup/ECE-PRYMMAL-0.5B-FT-V4-MUSR-Mathis,train
matouLeLoup/ECE-PRYMMAL-0.5B-FT-V5-MUSR-Mathis,train
meditsolutions/Llama-3.2-SUN-1B-Instruct,train
meditsolutions/Llama-3.2-SUN-1B-chat,train
meditsolutions/Llama-3.2-SUN-2.4B-checkpoint-26000,train
meditsolutions/Llama-3.2-SUN-2.4B-checkpoint-34800,train
meditsolutions/Llama-3.2-SUN-2.4B-v1.0.0,train
meditsolutions/Llama-3.2-SUN-2.5B-chat,train
meditsolutions/Llama-3.2-SUN-HDIC-1B-Instruct,train
meditsolutions/MedIT-Mesh-3B-Instruct,train
meditsolutions/SmolLM2-MedIT-Upscale-2B,train
mergekit-community/JAJUKA-WEWILLNEVERFORGETYOU-3B,train
mergekit-community/SuperQwen-2.5-1.5B,train
mergekit-community/diabolic6045_ELN-AOC-CAIN,train
mergekit-community/mergekit-dare_ties-ajgjgea,train
meta-llama/Llama-2-7b-chat-hf,train
meta-llama/Llama-3.2-1B,train
meta-llama/Llama-3.2-1B-Instruct,train
meta-llama/Llama-3.2-3B,train
meta-llama/Llama-3.2-3B-Instruct,train
mhl1/Qwen2.5-0.5B-cinstruct-stage1,train
microsoft/Phi-3-mini-4k-instruct,train
minghaowu/Qwen1.5-1.8B-OpenHermes-2.5,train
ministral/Ministral-3b-instruct,train
mkurman/llama-3.2-MEDIT-3B-o1,train
mlx-community/Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1-float32,train
monsterapi/gemma-2-2b-LoRA-MonsterInstruct,train
mosama/Qwen2.5-1.5B-Instruct-CoT-Reflection,train
mrdayl/OpenCogito,train
mrdayl/OpenCognito,train
mrdayl/OpenCognito-r2,train
nbeerbower/Dumpling-Qwen2.5-1.5B,train
nbeerbower/EVA-abliterated-TIES-Qwen2.5-1.5B,train
nbrahme/IndusQ,train
necva/replica-IEPile,train
netcat420/MFANN-abliterated-phi2-merge-unretrained,train
netcat420/MFANN-phigments-slerp-V2,train
netcat420/MFANN-phigments-slerp-V3.2,train
netcat420/MFANN-phigments-slerp-V3.3,train
netcat420/MFANN3b,train
netcat420/MFANN3bv0.15,train
netcat420/MFANN3bv0.18,train
netcat420/MFANN3bv0.19,train
netcat420/MFANN3bv0.20,train
netcat420/MFANN3bv0.21,train
netcat420/MFANN3bv0.22,train
netcat420/MFANN3bv0.23,train
netcat420/MFANN3bv0.24,train
netcat420/MFANN3bv1.1,train
netcat420/MFANN3bv1.2,train
netcat420/MFANN3bv1.3,train
netcat420/MFANN3bv1.4,train
ngxson/MiniThinky-v2-1B-Llama-3.2,train
nidum/Nidum-Limitless-Gemma-2B,train
noname0202/gemma-2-2b-it-ties,train
noname0202/llama-math-1b-r16-0to512tokens-test,train
noname0202/llama-math-1b-r32-test,train
noname0202/llama-math-1b-r8-512tokens-test,train
nvidia/AceInstruct-1.5B,train
nvidia/AceMath-1.5B-Instruct,train
nvidia/Hymba-1.5B-Instruct,train
nvidia/Llama-3.1-Minitron-4B-Depth-Base,train
nvidia/Minitron-4B-Base,train
nvidia/Nemotron-Mini-4B-Instruct,train
ontocord/Llama_3.2_1b-autoredteam_helpfulness-train,train
ontocord/RedPajama-3B-v1-AutoRedteam,train
ontocord/RedPajama-3B-v1-AutoRedteam-Harmless-only,train
ontocord/RedPajama3b_v1-autoredteam_helpfulness-train,train
ontocord/merged_0.2_expert_0.8,train
ontocord/merged_0.2_expert_0.8-stack_2x,train
ontocord/merged_0.5_expert_0.5,train
ontocord/starcoder2_3b-AutoRedteam,train
ontocord/wide_3b-merge_test,train
ontocord/wide_3b-stage1_shuf_sample1_jsonl-pretrained,train
ontocord/wide_3b_sft_stag1.2-lyrical_news_software_howto_formattedtext-merge,train
ontocord/wide_3b_sft_stage1.1-ss1-no_redteam_skg_poem.no_issue,train
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr.no_issue,train
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_math.no_issue,train
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_math_stories.no_issue,train
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_math.no_issue,train
ontocord/wide_3b_sft_stage1.1-ss1-with_math.no_issue,train
ontocord/wide_3b_sft_stage1.1-ss1-with_r1_generics_intr_math_stories.no_issue,train
ontocord/wide_3b_sft_stage1.2-ss1-expert_formatted_text,train
ontocord/wide_3b_sft_stage1.2-ss1-expert_how-to,train
ontocord/wide_3b_sft_stage1.2-ss1-expert_math,train
ontocord/wide_3b_sft_stage1.2-ss1-expert_news,train
ontocord/wide_3b_sft_stage1.2-ss1-expert_software,train
oopere/Llama-FinSent-S,train
oopere/pruned10-llama-3.2-3B,train
oopere/pruned20-llama-3.2-3b,train
oopere/pruned40-llama-1b,train
oopere/pruned40-llama-3.2-1B,train
oopere/pruned40-llama-3.2-3b,train
oopere/pruned60-llama-1b,train
oopere/pruned60-llama-3.2-3b,train
open-atlas/Atlas-Flash-1.5B-Preview,train
open-neo/Kyro-n1-3B,train
ozone-research/Chirp-01,train
pankajmathur/orca_mini_7b,train
pankajmathur/orca_mini_v2_7b,train
pankajmathur/orca_mini_v3_7b,train
pankajmathur/orca_mini_v9_0_3B-Instruct,train
pankajmathur/orca_mini_v9_1_1B-Instruct,train
pankajmathur/orca_mini_v9_5_1B-Instruct,train
pankajmathur/orca_mini_v9_5_1B-Instruct_preview,train
pankajmathur/orca_mini_v9_5_3B-Instruct,train
pankajmathur/orca_mini_v9_6_1B-Instruct,train
pankajmathur/orca_mini_v9_7_1B-Instruct,train
pankajmathur/orca_mini_v9_7_3B-Instruct,train
pints-ai/1.5-Pints-16K-v0.1,train
pints-ai/1.5-Pints-2K-v0.1,train
piotr25691/thea-3b-25r,train
piotr25691/thea-c-3b-25r,train
piotr25691/thea-rp-3b-25r,train
postbot/gpt2-medium-emailgen,train
princeton-nlp/Sheared-LLaMA-1.3B,train
prithivMLmods/Bellatrix-1.5B-xElite,train
prithivMLmods/Bellatrix-Tiny-1.5B-R1,train
prithivMLmods/Bellatrix-Tiny-1B-v2,train
prithivMLmods/Codepy-Deepthink-3B,train
prithivMLmods/FastThink-0.5B-Tiny,train
prithivMLmods/GWQ2b,train
prithivMLmods/Llama-3.1-5B-Instruct,train
prithivMLmods/Llama-3.2-6B-AlgoCode,train
prithivMLmods/Llama-Deepsync-1B,train
prithivMLmods/Llama-Express.1-Math,train
prithivMLmods/Omni-Reasoner3-Merged,train
prithivMLmods/QwQ-LCoT-3B-Instruct,train
prithivMLmods/QwQ-R1-Distill-1.5B-CoT,train
prithivMLmods/Qwen2.5-1.5B-DeepSeek-R1-Instruct,train
prithivMLmods/SmolLM2-CoT-360M,train
prithivMLmods/Triangulum-5B,train
pszemraj/Llama-3-6.3b-v0.1,train
pszemraj/Mistral-v0.3-6B,train
qingy2024/Benchmaxx-Llama-3.2-1B-Instruct,train
qingy2024/Qwarkstar-4B,train
qingy2024/Qwarkstar-4B-Instruct-Preview,train
qingy2024/Qwen2.5-4B,train
qingy2024/Qwen2.5-Coder-Draft-1.5B-Instruct,train
qq8933/OpenLongCoT-Base-Gemma2-2B,train
rasyosef/Phi-1_5-Instruct-v0.1,train
rasyosef/phi-2-instruct-apo,train
realtreetune/rho-1b-sft-MATH,train
rhysjones/phi-2-orange-v2,train
rombodawg/Rombos-LLM-V2.5-Qwen-0.5b,train
rombodawg/Rombos-LLM-V2.5-Qwen-3b,train
rombodawg/Rombos-LLM-V2.5.1-Qwen-3b,train
sabersaleh/Llama2-7B-CPO,train
sabersaleh/Llama2-7B-DPO,train
sabersaleh/Llama2-7B-IPO,train
sabersaleh/Llama2-7B-KTO,train
sabersaleh/Llama2-7B-SPO,train
sabersaleh/Llama2-7B-SimPO,train
saishshinde15/TethysAI_Base_Reasoning,train
saishshinde15/TethysAI_Vortex,train
saishshinde15/TethysAI_Vortex_Reasoning,train
sakhan10/quantized_open_llama_3b_v2,train
sarvamai/OpenHathi-7B-Hi-v0.1-Base,train
sci-m-wang/deepseek-llm-7b-chat-sa-v0.1,train
securin/Securin-LLM-V2.5-Qwen-1.5B,train
silma-ai/SILMA-Kashif-2B-Instruct-v1.0,train
skymizer/Llama2-7b-sft-chat-custom-template-dpo,train
someon98/qwen-CoMa-0.5b,train
suayptalha/DeepSeek-R1-Distill-Llama-3B,train
suayptalha/Komodo-Llama-3.2-3B-v2-fp16,train
sumink/Qmerft,train
sumink/Qwenftmodel,train
sumink/Qwenmplus,train
sumink/Qwensci,train
sumink/bbhqwen,train
sumink/bbhqwen2,train
sumink/bbhqwen4,train
sumink/bbhqwen5,train
sumink/bbhqwen6,train
sumink/flflmillama,train
sumink/llamaft,train
sumink/llftfl7,train
sumink/somerft,train
tangledgroup/tangled-llama-pints-1.5b-v0.2-instruct,train
tensopolis/qwen2.5-3b-or1-tensopolis,train
tensoropera/Fox-1-1.6B,train
theprint/Llama-3.2-3B-VanRossum,train
theprint/ReWiz-Llama-3.2-3B,train
theprint/phi-3-mini-4k-python,train
thirdeyeai/elevate360m,train
thomas-yanxin/XinYuan-Qwen2-1_5B,train
tiiuae/Falcon3-1B-Base,train
tiiuae/Falcon3-1B-Instruct,train
tiiuae/Falcon3-3B-Base,train
tiiuae/Falcon3-3B-Instruct,train
tiiuae/falcon-mamba-7b,train
tinycompany/BiBo-v0.3,train
tinycompany/BiBo-v0.7,train
tinycompany/ShawtyIsBad-e5-large,train
tinycompany/ShawtyIsBad-ib,train
tinycompany/ShawtyIsBad-nomic-moe,train
tinycompany/ShawtyIsBad-nomic1.5,train
tinycompany/SigmaBoi-base,train
tinycompany/SigmaBoi-bge-m3,train
tinycompany/SigmaBoi-bgem3,train
tinycompany/SigmaBoi-ib,train
tinycompany/SigmaBoi-nomic-moe,train
tinycompany/SigmaBoi-nomic1.5,train
tinycompany/SigmaBoi-nomic1.5-fp32,train
tinycompany/Tamed-Shawty,train
trthminh1112/autotrain-llama32-1b-finetune,train
unsloth/Llama-3.2-1B-Instruct,train
unsloth/Llama-3.2-1B-Instruct-no-system-message,train
unsloth/Phi-3-mini-4k-instruct,train
uukuguy/speechless-code-mistral-7b-v1.0,train
uukuguy/speechless-coder-ds-6.7b,train
vhab10/llama-3-8b-merged-linear,train
viettelsecurity-ai/security-llama3.2-3b,train
vihangd/smart-dan-sft-v0.1,train
voidful/smol-360m-ft,train
vonjack/Phi-3-mini-4k-instruct-LLaMAfied,train
vonjack/Phi-3.5-mini-instruct-hermes-fc-json,train
vonjack/Qwen2.5-Coder-0.5B-Merged,train
